                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0604:  Access Summary Report


Aircraft1-To-Sat0604
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:05:05.143    2 Nov 2013 04:24:05.993          1140.850
                       2    2 Nov 2013 05:54:33.732    2 Nov 2013 06:08:45.507           851.774
                       3    2 Nov 2013 13:34:23.943    2 Nov 2013 13:52:43.415          1099.472
                       4    2 Nov 2013 15:22:51.112    2 Nov 2013 15:39:32.859          1001.747
                       5    2 Nov 2013 23:25:06.845    2 Nov 2013 23:34:34.338           567.493
                       6    3 Nov 2013 01:06:17.378    3 Nov 2013 01:25:22.799          1145.421
                       7    3 Nov 2013 02:59:09.216    3 Nov 2013 03:03:46.602           277.386

Global Statistics
-----------------
Min Duration           7    3 Nov 2013 02:59:09.216    3 Nov 2013 03:03:46.602           277.386
Max Duration           6    3 Nov 2013 01:06:17.378    3 Nov 2013 01:25:22.799          1145.421
Mean Duration                                                                            869.163
Total Duration                                                                          6084.144
