                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0605:  Access Summary Report


Aircraft1-To-Sat0605
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:00:00.000    2 Nov 2013 04:15:09.730           909.730
                       2    2 Nov 2013 05:44:58.359    2 Nov 2013 06:00:19.070           920.711
                       3    2 Nov 2013 13:25:38.582    2 Nov 2013 13:43:25.361          1066.779
                       4    2 Nov 2013 15:13:32.222    2 Nov 2013 15:31:00.044          1047.822
                       5    2 Nov 2013 23:18:08.630    2 Nov 2013 23:23:53.250           344.620
                       6    3 Nov 2013 00:57:27.204    3 Nov 2013 01:16:33.574          1146.370
                       7    3 Nov 2013 02:48:16.915    3 Nov 2013 02:57:06.926           530.011

Global Statistics
-----------------
Min Duration           5    2 Nov 2013 23:18:08.630    2 Nov 2013 23:23:53.250           344.620
Max Duration           6    3 Nov 2013 00:57:27.204    3 Nov 2013 01:16:33.574          1146.370
Mean Duration                                                                            852.292
Total Duration                                                                          5966.042
