                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0710:  Access Summary Report


Aircraft1-To-Sat0710
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:53:40.378    2 Nov 2013 05:12:36.093          1135.715
                       2    2 Nov 2013 06:42:48.281    2 Nov 2013 06:57:20.447           872.166
                       3    2 Nov 2013 14:23:47.306    2 Nov 2013 14:41:44.474          1077.168
                       4    2 Nov 2013 16:11:52.053    2 Nov 2013 16:29:04.345          1032.292
                       5    3 Nov 2013 00:14:22.269    3 Nov 2013 00:22:03.475           461.206
                       6    3 Nov 2013 01:54:43.280    3 Nov 2013 02:13:50.082          1146.803
                       7    3 Nov 2013 03:46:08.976    3 Nov 2013 03:53:37.524           448.548

Global Statistics
-----------------
Min Duration           7    3 Nov 2013 03:46:08.976    3 Nov 2013 03:53:37.524           448.548
Max Duration           6    3 Nov 2013 01:54:43.280    3 Nov 2013 02:13:50.082          1146.803
Mean Duration                                                                            881.985
Total Duration                                                                          6173.898
