                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0801:  Access Summary Report


Aircraft1-To-Sat0801
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:27:15.226    2 Nov 2013 04:38:36.997           681.771
                       2    2 Nov 2013 06:08:35.488    2 Nov 2013 06:27:47.170          1151.683
                       3    2 Nov 2013 08:00:36.899    2 Nov 2013 08:10:28.606           591.706
                       4    2 Nov 2013 15:39:32.008    2 Nov 2013 15:58:29.333          1137.325
                       5    2 Nov 2013 17:29:05.505    2 Nov 2013 17:44:00.721           895.216
                       6    3 Nov 2013 01:26:25.429    3 Nov 2013 01:39:50.321           804.892
                       7    3 Nov 2013 03:09:48.451    3 Nov 2013 03:28:35.350          1126.899

Global Statistics
-----------------
Min Duration           3    2 Nov 2013 08:00:36.899    2 Nov 2013 08:10:28.606           591.706
Max Duration           2    2 Nov 2013 06:08:35.488    2 Nov 2013 06:27:47.170          1151.683
Mean Duration                                                                            912.785
Total Duration                                                                          6389.492
