                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0704:  Access Summary Report


Aircraft1-To-Sat0704
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:02:33.299    2 Nov 2013 04:18:21.383           948.084
                       2    2 Nov 2013 05:46:59.863    2 Nov 2013 06:05:40.493          1120.631
                       3    2 Nov 2013 13:32:52.890    2 Nov 2013 13:43:50.466           657.576
                       4    2 Nov 2013 15:17:02.187    2 Nov 2013 15:36:27.369          1165.182
                       5    2 Nov 2013 17:10:23.527    2 Nov 2013 17:17:36.663           433.136
                       6    3 Nov 2013 01:02:39.963    3 Nov 2013 01:19:51.792          1031.829
                       7    3 Nov 2013 02:48:38.982    3 Nov 2013 03:05:43.424          1024.442

Global Statistics
-----------------
Min Duration           5    2 Nov 2013 17:10:23.527    2 Nov 2013 17:17:36.663           433.136
Max Duration           4    2 Nov 2013 15:17:02.187    2 Nov 2013 15:36:27.369          1165.182
Mean Duration                                                                            911.554
Total Duration                                                                          6380.880
