                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0802:  Access Summary Report


Aircraft1-To-Sat0802
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:19:38.727    2 Nov 2013 04:28:54.441           555.714
                       2    2 Nov 2013 05:59:45.489    2 Nov 2013 06:18:55.001          1149.512
                       3    2 Nov 2013 07:50:30.522    2 Nov 2013 08:02:29.892           719.370
                       4    2 Nov 2013 15:30:42.711    2 Nov 2013 15:49:18.239          1115.528
                       5    2 Nov 2013 17:19:36.016    2 Nov 2013 17:35:37.975           961.959
                       6    3 Nov 2013 01:18:27.859    3 Nov 2013 01:30:05.595           697.736
                       7    3 Nov 2013 03:00:52.812    3 Nov 2013 03:19:52.388          1139.576

Global Statistics
-----------------
Min Duration           1    2 Nov 2013 04:19:38.727    2 Nov 2013 04:28:54.441           555.714
Max Duration           2    2 Nov 2013 05:59:45.489    2 Nov 2013 06:18:55.001          1149.512
Mean Duration                                                                            905.628
Total Duration                                                                          6339.394
