                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0706:  Access Summary Report


Aircraft1-To-Sat0706
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 05:28:59.499    2 Nov 2013 05:48:06.195          1146.696
                       2    2 Nov 2013 07:23:30.127    2 Nov 2013 07:29:03.873           333.746
                       3    2 Nov 2013 13:18:19.391    2 Nov 2013 13:21:50.105           210.714
                       4    2 Nov 2013 14:59:07.194    2 Nov 2013 15:18:27.207          1160.012
                       5    2 Nov 2013 16:49:56.996    2 Nov 2013 17:02:24.392           747.396
                       6    3 Nov 2013 00:45:52.088    3 Nov 2013 01:01:17.735           925.647
                       7    3 Nov 2013 02:30:27.126    3 Nov 2013 02:48:40.928          1093.802

Global Statistics
-----------------
Min Duration           3    2 Nov 2013 13:18:19.391    2 Nov 2013 13:21:50.105           210.714
Max Duration           4    2 Nov 2013 14:59:07.194    2 Nov 2013 15:18:27.207          1160.012
Mean Duration                                                                            802.573
Total Duration                                                                          5618.013
