                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0811:  Access Summary Report


Aircraft1-To-Sat0811
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:43:10.167    2 Nov 2013 04:57:27.521           857.354
                       2    2 Nov 2013 06:26:25.741    2 Nov 2013 06:45:26.041          1140.301
                       3    2 Nov 2013 14:15:52.532    2 Nov 2013 14:20:58.721           306.188
                       4    2 Nov 2013 15:57:18.484    2 Nov 2013 16:16:40.710          1162.226
                       5    2 Nov 2013 17:48:32.065    2 Nov 2013 18:00:17.230           705.165
                       6    3 Nov 2013 01:42:52.750    3 Nov 2013 01:58:47.146           954.396
                       7    3 Nov 2013 03:27:48.919    3 Nov 2013 03:45:50.410          1081.491

Global Statistics
-----------------
Min Duration           3    2 Nov 2013 14:15:52.532    2 Nov 2013 14:20:58.721           306.188
Max Duration           4    2 Nov 2013 15:57:18.484    2 Nov 2013 16:16:40.710          1162.226
Mean Duration                                                                            886.732
Total Duration                                                                          6207.121
