                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0812:  Access Summary Report


Aircraft1-To-Sat0812
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:35:07.417    2 Nov 2013 04:48:06.368           778.951
                       2    2 Nov 2013 06:17:28.885    2 Nov 2013 06:36:37.533          1148.648
                       3    2 Nov 2013 08:11:14.977    2 Nov 2013 08:17:58.430           403.453
                       4    2 Nov 2013 15:48:23.975    2 Nov 2013 16:07:36.757          1152.782
                       5    2 Nov 2013 17:38:43.057    2 Nov 2013 17:52:14.934           811.877
                       6    3 Nov 2013 01:34:34.902    3 Nov 2013 01:49:23.006           888.105
                       7    3 Nov 2013 03:18:47.085    3 Nov 2013 03:37:14.782          1107.698

Global Statistics
-----------------
Min Duration           3    2 Nov 2013 08:11:14.977    2 Nov 2013 08:17:58.430           403.453
Max Duration           4    2 Nov 2013 15:48:23.975    2 Nov 2013 16:07:36.757          1152.782
Mean Duration                                                                            898.788
Total Duration                                                                          6291.514
