                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0507:  Access Summary Report


Aircraft1-To-Sat0507
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:00:00.000    2 Nov 2013 04:02:12.445           132.445
                       2    2 Nov 2013 05:36:35.731    2 Nov 2013 05:44:22.002           466.271
                       3    2 Nov 2013 11:29:16.054    2 Nov 2013 11:35:51.323           395.269
                       4    2 Nov 2013 13:11:40.762    2 Nov 2013 13:31:03.546          1162.784
                       5    2 Nov 2013 15:02:37.722    2 Nov 2013 15:14:39.412           721.690
                       6    2 Nov 2013 23:00:09.716    2 Nov 2013 23:15:41.880           932.164
                       7    3 Nov 2013 00:44:46.648    3 Nov 2013 01:02:56.934          1090.286

Global Statistics
-----------------
Min Duration           1    2 Nov 2013 04:00:00.000    2 Nov 2013 04:02:12.445           132.445
Max Duration           4    2 Nov 2013 13:11:40.762    2 Nov 2013 13:31:03.546          1162.784
Mean Duration                                                                            700.130
Total Duration                                                                          4900.909
