                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0803:  Access Summary Report


Aircraft1-To-Sat0803
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:12:32.361    2 Nov 2013 04:18:44.429           372.068
                       2    2 Nov 2013 05:50:58.892    2 Nov 2013 06:10:01.033          1142.140
                       3    2 Nov 2013 07:40:40.821    2 Nov 2013 07:54:17.072           816.252
                       4    2 Nov 2013 15:21:56.311    2 Nov 2013 15:40:03.156          1086.846
                       5    2 Nov 2013 17:10:12.665    2 Nov 2013 17:27:08.618          1015.953
                       6    3 Nov 2013 01:10:49.799    3 Nov 2013 01:20:01.269           551.470
                       7    3 Nov 2013 02:52:00.044    3 Nov 2013 03:11:06.061          1146.017

Global Statistics
-----------------
Min Duration           1    2 Nov 2013 04:12:32.361    2 Nov 2013 04:18:44.429           372.068
Max Duration           7    3 Nov 2013 02:52:00.044    3 Nov 2013 03:11:06.061          1146.017
Mean Duration                                                                            875.821
Total Duration                                                                          6130.745
