                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0112:  Access Summary Report


Aircraft1-To-Sat0112
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 09:10:08.955    2 Nov 2013 09:29:01.431          1132.475
                       2    2 Nov 2013 10:59:06.485    2 Nov 2013 11:14:54.775           948.291
                       3    2 Nov 2013 19:04:28.987    2 Nov 2013 19:16:00.772           691.786
                       4    2 Nov 2013 20:46:28.954    2 Nov 2013 21:05:29.219          1140.265

Global Statistics
-----------------
Min Duration           3    2 Nov 2013 19:04:28.987    2 Nov 2013 19:16:00.772           691.786
Max Duration           4    2 Nov 2013 20:46:28.954    2 Nov 2013 21:05:29.219          1140.265
Mean Duration                                                                            978.204
Total Duration                                                                          3912.817
