                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0612:  Access Summary Report


Aircraft1-To-Sat0612
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:40:30.010    2 Nov 2013 04:59:34.242          1144.232
                       2    2 Nov 2013 06:35:50.193    2 Nov 2013 06:40:04.050           253.857
                       3    2 Nov 2013 12:27:08.924    2 Nov 2013 12:34:39.018           450.094
                       4    2 Nov 2013 14:09:51.903    2 Nov 2013 14:29:16.332          1164.429
                       5    2 Nov 2013 16:01:15.145    2 Nov 2013 16:12:28.275           673.130
                       6    2 Nov 2013 23:57:10.693    3 Nov 2013 00:13:10.097           959.404
                       7    3 Nov 2013 01:42:08.588    3 Nov 2013 02:00:06.070          1077.483

Global Statistics
-----------------
Min Duration           2    2 Nov 2013 06:35:50.193    2 Nov 2013 06:40:04.050           253.857
Max Duration           4    2 Nov 2013 14:09:51.903    2 Nov 2013 14:29:16.332          1164.429
Mean Duration                                                                            817.518
Total Duration                                                                          5722.628
