                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0506:  Access Summary Report


Aircraft1-To-Sat0506
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:00:00.000    2 Nov 2013 04:11:01.697           661.697
                       2    2 Nov 2013 05:48:22.232    2 Nov 2013 05:50:51.697           149.465
                       3    2 Nov 2013 11:36:50.050    2 Nov 2013 11:46:37.702           587.651
                       4    2 Nov 2013 13:20:37.995    2 Nov 2013 13:40:04.221          1166.226
                       5    2 Nov 2013 15:12:39.046    2 Nov 2013 15:22:25.043           585.997
                       6    2 Nov 2013 23:08:30.628    2 Nov 2013 23:25:00.298           989.670
                       7    3 Nov 2013 00:53:51.598    3 Nov 2013 01:11:30.196          1058.598

Global Statistics
-----------------
Min Duration           2    2 Nov 2013 05:48:22.232    2 Nov 2013 05:50:51.697           149.465
Max Duration           4    2 Nov 2013 13:20:37.995    2 Nov 2013 13:40:04.221          1166.226
Mean Duration                                                                            742.758
Total Duration                                                                          5199.305
