                                                                            15 Oct 2018 11:39:37
Facility-Guizhou-To-Satellite-Sat0108:  Access Summary Report


Guizhou-To-Sat0108
------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 13:37:25.032    2 Nov 2013 13:45:18.405           473.373
                       2    2 Nov 2013 15:24:40.832    2 Nov 2013 15:31:50.794           429.962
                       3    3 Nov 2013 00:49:25.626    3 Nov 2013 00:57:10.060           464.435
                       4    3 Nov 2013 02:36:27.583    3 Nov 2013 02:43:48.061           440.478

Global Statistics
-----------------
Min Duration           2    2 Nov 2013 15:24:40.832    2 Nov 2013 15:31:50.794           429.962
Max Duration           1    2 Nov 2013 13:37:25.032    2 Nov 2013 13:45:18.405           473.373
Mean Duration                                                                            452.062
Total Duration                                                                          1808.249
