                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0810:  Access Summary Report


Aircraft1-To-Sat0810
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:51:20.916    2 Nov 2013 05:06:42.884           921.968
                       2    2 Nov 2013 06:35:26.178    2 Nov 2013 06:54:12.600          1126.422
                       3    2 Nov 2013 14:23:01.893    2 Nov 2013 14:32:05.124           543.231
                       4    2 Nov 2013 16:06:15.474    2 Nov 2013 16:25:41.345          1165.872
                       5    2 Nov 2013 17:58:39.818    2 Nov 2013 18:08:00.328           560.510
                       6    3 Nov 2013 01:51:17.017    3 Nov 2013 02:08:04.668          1007.651
                       7    3 Nov 2013 03:36:54.274    3 Nov 2013 03:54:21.862          1047.588

Global Statistics
-----------------
Min Duration           3    2 Nov 2013 14:23:01.893    2 Nov 2013 14:32:05.124           543.231
Max Duration           4    2 Nov 2013 16:06:15.474    2 Nov 2013 16:25:41.345          1165.872
Mean Duration                                                                            910.463
Total Duration                                                                          6373.242
