                                                                            24 May 2018 18:54:36
Aircraft-Aircraft1-To-Satellite-Sat0705:  Access Summary Report


Aircraft1-To-Sat0705
--------------------
                  Access       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
                  ------    -----------------------    -----------------------    --------------
                       1    2 Nov 2013 04:00:00.000    2 Nov 2013 04:09:08.583           548.583
                       2    2 Nov 2013 05:37:57.862    2 Nov 2013 05:56:54.305          1136.443
                       3    2 Nov 2013 13:25:04.490    2 Nov 2013 13:33:23.356           498.866
                       4    2 Nov 2013 15:08:03.489    2 Nov 2013 15:27:28.936          1165.447
                       5    2 Nov 2013 16:59:55.647    2 Nov 2013 17:10:15.458           619.811
                       6    3 Nov 2013 00:54:13.157    3 Nov 2013 01:10:37.680           984.523
                       7    3 Nov 2013 02:39:31.128    3 Nov 2013 02:57:14.396          1063.267

Global Statistics
-----------------
Min Duration           3    2 Nov 2013 13:25:04.490    2 Nov 2013 13:33:23.356           498.866
Max Duration           4    2 Nov 2013 15:08:03.489    2 Nov 2013 15:27:28.936          1165.447
Mean Duration                                                                            859.563
Total Duration                                                                          6016.940
