                                24 May 2018 18:54:39
Satellite-RS022


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000       66.827      -43.253    509914.191
      30.000       68.590      -41.543    510378.418
      60.000       70.328      -39.523    510807.283
      90.000       72.036      -37.109    511198.913
     120.000       73.704      -34.189    511551.599
     150.000       75.318      -30.608    511863.802
     180.000       76.860      -26.157    512134.161
     210.000       78.299      -20.560    512361.498
     240.000       79.595      -13.477    512544.822
     270.000       80.687       -4.556    512683.334
     300.000       81.496        6.390    512776.431
     330.000       81.937       19.064    512823.708
     360.000       81.949       32.466    512824.959
     390.000       81.530       45.212    512780.178
     420.000       80.739       56.265    512689.560
     450.000       79.660       65.295    512553.501
     480.000       78.374       72.469    512372.592
     510.000       76.941       78.137    512147.622
     540.000       75.404       82.642    511879.571
     570.000       73.793       86.265    511569.607
     600.000       72.128       89.217    511219.081
     630.000       70.422       91.655    510829.524
     660.000       68.685       93.694    510402.634
     690.000       66.923       95.419    509940.276
     720.000       65.143       96.895    509444.470
     750.000       63.347       98.168    508917.383
     780.000       61.539       99.277    508361.321
     810.000       59.720      100.250    507778.717
     840.000       57.892      101.110    507172.124
     870.000       56.057      101.875    506544.201
     900.000       54.215      102.558    505897.703
     930.000       52.368      103.173    505235.469
     960.000       50.515      103.729    504560.407
     990.000       48.658      104.233    503875.488
    1020.000       46.798      104.693    503183.727
    1050.000       44.933      105.113    502488.171
    1080.000       43.066      105.500    501791.887
    1110.000       41.195      105.856    501097.948
    1140.000       39.322      106.186    500409.420
    1170.000       37.447      106.492    499729.348
    1200.000       35.569      106.777    499060.740
    1230.000       33.689      107.044    498406.557
    1260.000       31.807      107.294    497769.701
    1290.000       29.924      107.529    497152.996
    1320.000       28.039      107.750    496559.180
    1350.000       26.152      107.960    495990.892
    1380.000       24.264      108.159    495450.658
    1410.000       22.375      108.349    494940.884
    1440.000       20.485      108.531    494463.839
    1470.000       18.593      108.705    494021.648
    1500.000       16.701      108.872    493616.283
    1530.000       14.808      109.034    493249.552
    1560.000       12.914      109.191    492923.092
    1590.000       11.019      109.344    492638.361
    1620.000        9.124      109.493    492396.629
    1650.000        7.229      109.639    492198.979
    1680.000        5.333      109.783    492046.292
    1710.000        3.437      109.926    491939.251
    1740.000        1.541      110.067    491878.336
    1770.000       -0.356      110.208    491863.818
    1800.000       -2.252      110.349    491895.762
    1830.000       -4.148      110.491    491974.026
    1860.000       -6.044      110.634    492098.259
    1890.000       -7.940      110.778    492267.907
    1920.000       -9.835      110.926    492482.210
    1950.000      -11.730      111.076    492740.211
    1980.000      -13.625      111.230    493040.758
    2010.000      -15.518      111.389    493382.507
    2040.000      -17.411      111.553    493763.934
    2070.000      -19.303      111.723    494183.337
    2100.000      -21.194      111.900    494638.844
    2130.000      -23.084      112.084    495128.426
    2160.000      -24.973      112.277    495649.901
    2190.000      -26.860      112.480    496200.949
    2220.000      -28.746      112.694    496779.117
    2250.000      -30.631      112.921    497381.836
    2280.000      -32.513      113.161    498006.427
    2310.000      -34.394      113.417    498650.120
    2340.000      -36.274      113.690    499310.058
    2370.000      -38.151      113.983    499983.317
    2400.000      -40.025      114.298    500666.917
    2430.000      -41.897      114.637    501357.833
    2460.000      -43.767      115.004    502053.012
    2490.000      -45.633      115.403    502749.383
    2520.000      -47.496      115.838    503443.874
    2550.000      -49.356      116.314    504133.424
    2580.000      -51.211      116.836    504814.996
    2610.000      -53.062      117.413    505485.590
    2640.000      -54.907      118.053    506142.259
    2670.000      -56.746      118.765    506782.116
    2700.000      -58.579      119.564    507402.355
    2730.000      -60.404      120.464    508000.253
    2760.000      -62.219      121.485    508573.192
    2790.000      -64.023      122.652    509118.662
    2820.000      -65.813      123.996    509634.277
    2850.000      -67.587      125.559    510117.780
    2880.000      -69.339      127.393    510567.060
    2910.000      -71.066      129.571    510980.153
    2940.000      -72.758      132.186    511355.256
    2970.000      -74.405      135.369    511690.734
    3000.000      -75.991      139.294    511985.121
    3030.000      -77.493      144.199    512237.136
    3060.000      -78.877      150.389    512445.680
    3090.000      -80.093      158.223    512609.844
    3120.000      -81.074      168.011    512728.914
    3150.000      -81.735      179.775    512802.370
    3180.000      -81.996     -167.078    512829.892
    3210.000      -81.820     -153.792    512811.362
    3240.000      -81.231     -141.687    512746.859
    3270.000      -80.306     -131.500    512636.665
    3300.000      -79.129     -123.304    512481.259
    3330.000      -77.773     -116.822    512281.319
    3360.000      -76.291     -111.692    512037.715
    3390.000      -74.720     -107.596    511751.508
    3420.000      -73.083     -104.284    511423.948
    3450.000      -71.399     -101.569    511056.461
    3480.000      -69.679      -99.315    510650.652
    3510.000      -67.931      -97.420    510208.291
    3540.000      -66.161      -95.808    509731.311
    3570.000      -64.374      -94.425    509221.796
    3600.000      -62.572      -93.226    508681.974
    3630.000      -60.759      -92.178    508114.207
    3660.000      -58.936      -91.256    507520.981
    3690.000      -57.105      -90.440    506904.896
    3720.000      -55.267      -89.711    506268.652
    3750.000      -53.422      -89.058    505615.043
    3780.000      -51.573      -88.470    504946.939
    3810.000      -49.718      -87.938    504267.277
    3840.000      -47.860      -87.453    503579.048
    3870.000      -45.997      -87.011    502885.282
    3900.000      -44.132      -86.605    502189.036
    3930.000      -42.263      -86.232    501493.383
    3960.000      -40.391      -85.888    500801.394
    3990.000      -38.517      -85.568    500116.126
    4020.000      -36.640      -85.272    499440.611
    4050.000      -34.762      -84.995    498777.839
    4080.000      -32.881      -84.736    498130.747
    4110.000      -30.999      -84.492    497502.204
    4140.000      -29.114      -84.263    496894.999
    4170.000      -27.229      -84.047    496311.830
    4200.000      -25.341      -83.842    495755.288
    4230.000      -23.453      -83.647    495227.850
    4260.000      -21.563      -83.461    494731.862
    4290.000      -19.672      -83.282    494269.534
    4320.000      -17.781      -83.111    493842.928
    4350.000      -15.888      -82.946    493453.944
    4380.000      -13.995      -82.787    493104.318
    4410.000      -12.100      -82.632    492795.612
    4440.000      -10.206      -82.481    492529.204
    4470.000       -8.310      -82.333    492306.284
    4500.000       -6.415      -82.187    492127.848
    4530.000       -4.519      -82.044    491994.694
    4560.000       -2.622      -81.902    491907.417
    4590.000       -0.726      -81.761    491866.408
    4620.000        1.170      -81.620    491871.849
    4650.000        3.067      -81.479    491923.717
    4680.000        4.963      -81.337    492021.779
    4710.000        6.859      -81.193    492165.597
    4740.000        8.754      -81.047    492354.528
    4770.000       10.649      -80.899    492587.728
    4800.000       12.544      -80.747    492864.154
    4830.000       14.438      -80.591    493182.572
    4860.000       16.331      -80.430    493541.560
    4890.000       18.224      -80.264    493939.516
    4920.000       20.115      -80.091    494374.664
    4950.000       22.006      -79.911    494845.063
    4980.000       23.895      -79.723    495348.619
    5010.000       25.783      -79.526    495883.088
    5040.000       27.670      -79.318    496446.091
    5070.000       29.556      -79.099    497035.125
    5100.000       31.439      -78.866    497647.572
    5130.000       33.322      -78.620    498280.712
    5160.000       35.202      -78.357    498931.735
    5190.000       37.080      -78.075    499597.757
    5220.000       38.956      -77.773    500275.826
    5250.000       40.830      -77.448    500962.940
    5280.000       42.701      -77.098    501656.063
    5310.000       44.569      -76.717    502352.130
    5340.000       46.434      -76.304    503048.070
    5370.000       48.295      -75.852    503740.814
    5400.000       50.153      -75.357    504427.307
    5430.000       52.006      -74.812    505104.529
    5460.000       53.855      -74.209    505769.500
    5490.000       55.698      -73.540    506419.298
    5520.000       57.534      -72.792    507051.069
    5550.000       59.364      -71.952    507662.040
    5580.000       61.185      -71.003    508249.534
    5610.000       62.995      -69.923    508810.976
    5640.000       64.794      -68.684    509343.908
    5670.000       66.577      -67.251    509846.000
    5700.000       68.342      -65.579    510315.055
    5730.000       70.085      -63.607    510749.024
    5760.000       71.797      -61.255    511146.012
    5790.000       73.471      -58.414    511504.288
    5820.000       75.094      -54.938    511822.286
    5850.000       76.648      -50.624    512098.622
    5880.000       78.104      -45.209    512332.090
    5910.000       79.423      -38.358    512521.674
    5940.000       80.548      -29.714    512666.547
    5970.000       81.402      -19.050    512766.077
    6000.000       81.900       -6.575    512819.833
    6030.000       81.974        6.807    512827.580
    6060.000       81.614       19.724    512789.283
    6090.000       80.870       31.051    512705.110
    6120.000       79.827       40.363    512575.428
    6150.000       78.565       47.780    512400.801
    6180.000       77.150       53.638    512181.989
    6210.000       75.626       58.289    511919.947
    6240.000       74.024       62.021    511615.816
    6270.000       72.365       65.057    511270.922
    6300.000       70.664       67.560    510886.769
    6330.000       68.931       69.650    510465.035
    6360.000       67.173       71.415    510007.560
    6390.000       65.395       72.922    509516.343
    6420.000       63.602       74.222    508993.530
    6450.000       61.795       75.352    508441.409
    6480.000       59.977       76.343    507862.396
    6510.000       58.151       77.218    507259.028
    6540.000       56.316       77.995    506633.948
    6570.000       54.475       78.689    505989.899
    6600.000       52.629       79.313    505329.708
    6630.000       50.777       79.876    504656.277
    6660.000       48.921       80.387    503972.567
    6690.000       47.060       80.853    503281.586
    6720.000       45.196       81.279    502586.379
    6750.000       43.329       81.670    501890.011
    6780.000       41.459       82.030    501195.556
    6810.000       39.586       82.364    500506.080
    6840.000       37.711       82.673    499824.631
    6870.000       35.834       82.961    499154.225
    6900.000       33.954       83.230    498497.832
    6930.000       32.073       83.482    497858.359
    6960.000       30.189       83.719    497238.643
    6990.000       28.305       83.942    496641.437
    7020.000       26.418       84.154    496069.393
    7050.000       24.530       84.354    495525.054
    7080.000       22.641       84.546    495010.844
    7110.000       20.751       84.728    494529.051
    7140.000       18.860       84.903    494081.821
    7170.000       16.968       85.072    493671.149
    7200.000       15.075       85.234    493298.867
    7230.000       13.181       85.392    492966.635
    7260.000       11.287       85.545    492675.937
    7290.000        9.392       85.695    492428.072
    7320.000        7.496       85.841    492224.147
    7350.000        5.600       85.986    492065.073
    7380.000        3.704       86.128    491951.562
    7410.000        1.808       86.270    491884.120
    7440.000       -0.088       86.411    491863.050
    7470.000       -1.985       86.552    491888.446
    7500.000       -3.881       86.693    491960.194
    7530.000       -5.777       86.836    492077.974
    7560.000       -7.673       86.980    492241.258
    7590.000       -9.568       87.127    492449.318
    7620.000      -11.463       87.277    492701.222
    7650.000      -13.357       87.431    492995.845
    7680.000      -15.251       87.589    493331.873
    7710.000      -17.144       87.752    493707.804
    7740.000      -19.036       87.921    494121.960
    7770.000      -20.927       88.097    494572.495
    7800.000      -22.817       88.280    495057.401
    7830.000      -24.706       88.472    495574.516
    7860.000      -26.594       88.673    496121.539
    7890.000      -28.480       88.886    496696.036
    7920.000      -30.365       89.111    497295.453
    7950.000      -32.248       89.349    497917.126
    7980.000      -34.129       89.602    498558.296
    8010.000      -36.009       89.873    499216.119
    8040.000      -37.886       90.163    499887.679
    8070.000      -39.761       90.474    500570.003
    8100.000      -41.633       90.810    501260.072
    8130.000      -43.503       91.173    501954.836
    8160.000      -45.370       91.567    502651.225
    8190.000      -47.234       91.997    503346.168
    8220.000      -49.094       92.466    504036.600
    8250.000      -50.950       92.982    504719.479
    8280.000      -52.801       93.551    505391.802
    8310.000      -54.647       94.181    506050.611
    8340.000      -56.487       94.882    506693.011
    8370.000      -58.321       95.668    507316.183
    8400.000      -60.147       96.552    507917.394
    8430.000      -61.964       97.555    508494.008
    8460.000      -63.769       98.699    509043.499
    8490.000      -65.562      100.017    509563.464
    8520.000      -67.338      101.546    510051.627
    8550.000      -69.094      103.338    510505.855
    8580.000      -70.824      105.462    510924.165
    8610.000      -72.522      108.009    511304.729
    8640.000      -74.176      111.102    511645.887
    8670.000      -75.771      114.910    511946.152
    8700.000      -77.287      119.659    512204.213
    8730.000      -78.690      125.647    512418.947
    8760.000      -79.934      133.227    512589.418
    8790.000      -80.953      142.728    512714.882
    8820.000      -81.665      154.233    512794.795
    8850.000      -81.986      167.249    512828.807
    8880.000      -81.871     -179.398    512816.771
    8910.000      -81.337     -167.064    512758.739
    8940.000      -80.454     -156.589    512654.964
    8970.000      -79.308     -148.126    512505.898
    9000.000      -77.973     -141.423    512312.189
    9030.000      -76.507     -136.124    512074.682
    9060.000      -74.946     -131.899    511794.413
    9090.000      -73.317     -128.489    511472.601
    9120.000      -71.639     -125.699    511110.652
    9150.000      -69.923     -123.386    510710.143
