                                24 May 2018 18:54:41
Satellite-RS136


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000       35.816     -152.685    499147.802
      30.000       37.694     -152.403    499818.385
      60.000       39.570     -152.101    500500.064
      90.000       41.444     -151.774    501189.824
     120.000       43.315     -151.421    501884.614
     150.000       45.183     -151.037    502581.366
     180.000       47.048     -150.619    503277.004
     210.000       48.909     -150.162    503968.463
     240.000       50.767     -149.661    504652.696
     270.000       52.620     -149.107    505326.691
     300.000       54.469     -148.494    505987.483
     330.000       56.311     -147.812    506632.171
     360.000       58.147     -147.048    507257.923
     390.000       59.976     -146.187    507861.995
     420.000       61.796     -145.213    508441.738
     450.000       63.605     -144.100    508994.614
     480.000       65.402     -142.820    509518.202
     510.000       67.183     -141.335    510010.212
     540.000       68.945     -139.594    510468.494
     570.000       70.683     -137.533    510891.046
     600.000       72.389     -135.062    511276.022
     630.000       74.054     -132.061    511621.744
     660.000       75.663     -128.366    511926.702
     690.000       77.197     -123.755    512189.568
     720.000       78.623     -117.931    512409.196
     750.000       79.897     -110.533    512584.628
     780.000       80.955     -101.203    512715.101
     810.000       81.714      -89.795    512800.047
     840.000       82.086      -76.725    512839.094
     870.000       82.017      -63.147    512832.075
     900.000       81.520      -50.493    512779.018
     930.000       80.661      -39.707    512680.155
     960.000       79.529      -30.997    512535.916
     990.000       78.202      -24.119    512346.931
    1020.000       76.739      -18.700    512114.021
    1050.000       75.180      -14.395    511838.203
    1080.000       73.552      -10.933    511520.677
    1110.000       71.873       -8.108    511162.829
    1140.000       70.156       -5.773    510766.220
    1170.000       68.411       -3.818    510332.581
    1200.000       66.642       -2.161    509863.805
    1230.000       64.856       -0.743    509361.941
    1260.000       63.055        0.482    508829.183
    1290.000       61.243        1.550    508267.860
    1320.000       59.420        2.488    507680.432
    1350.000       57.589        3.317    507069.470
    1380.000       55.751        4.055    506437.655
    1410.000       53.906        4.715    505787.758
    1440.000       52.056        5.309    505122.632
    1470.000       50.202        5.846    504445.202
    1500.000       48.343        6.333    503758.448
    1530.000       46.480        6.778    503065.392
    1560.000       44.614        7.184    502369.088
    1590.000       42.745        7.558    501672.608
    1620.000       40.873        7.903    500979.026
    1650.000       38.999        8.222    500291.407
    1680.000       37.122        8.519    499612.790
    1710.000       35.243        8.795    498946.180
    1740.000       33.362        9.052    498294.530
    1770.000       31.479        9.294    497660.728
    1800.000       29.595        9.522    497047.587
    1830.000       27.709        9.736    496457.830
    1860.000       25.821        9.939    495894.076
    1890.000       23.932       10.132    495358.835
    1920.000       22.042       10.316    494854.487
    1950.000       20.151       10.492    494383.280
    1980.000       18.259       10.661    493947.311
    2010.000       16.366       10.823    493548.527
    2040.000       14.472       10.980    493188.705
    2070.000       12.578       11.132    492869.451
    2100.000       10.682       11.280    492592.192
    2130.000        8.787       11.425    492358.166
    2160.000        6.891       11.567    492168.418
    2190.000        4.994       11.707    492023.797
    2220.000        3.097       11.845    491924.948
    2250.000        1.201       11.982    491872.315
    2280.000       -0.696       12.119    491866.133
    2310.000       -2.593       12.257    491906.428
    2340.000       -4.490       12.395    491993.022
    2370.000       -6.386       12.534    492125.526
    2400.000       -8.283       12.676    492303.349
    2430.000      -10.178       12.820    492525.695
    2460.000      -12.074       12.967    492791.571
    2490.000      -13.968       13.118    493099.789
    2520.000      -15.862       13.273    493448.973
    2550.000      -17.756       13.434    493837.563
    2580.000      -19.648       13.601    494263.827
    2610.000      -21.540       13.775    494725.863
    2640.000      -23.430       13.956    495221.611
    2670.000      -25.319       14.147    495748.865
    2700.000      -27.207       14.347    496305.276
    2730.000      -29.093       14.558    496888.370
    2760.000      -30.978       14.782    497495.555
    2790.000      -32.862       15.020    498124.134
    2820.000      -34.743       15.274    498771.317
    2850.000      -36.622       15.544    499434.235
    2880.000      -38.500       15.835    500109.950
    2910.000      -40.375       16.148    500795.471
    2940.000      -42.248       16.486    501487.766
    2970.000      -44.117       16.851    502183.775
    3000.000      -45.984       17.249    502880.426
    3030.000      -47.848       17.683    503574.644
    3060.000      -49.708       18.159    504263.371
    3090.000      -51.563       18.682    504943.574
    3120.000      -53.415       19.259    505612.259
    3150.000      -55.261       19.901    506266.487
    3180.000      -57.101       20.617    506903.385
    3210.000      -58.934       21.420    507520.158
    3240.000      -60.759       22.327    508114.100
    3270.000      -62.574       23.358    508682.609
    3300.000      -64.378       24.538    509223.196
    3330.000      -66.169       25.901    509733.496
    3360.000      -67.942       27.489    510211.277
    3390.000      -69.695       29.358    510654.450
    3420.000      -71.420       31.583    511061.082
    3450.000      -73.110       34.265    511429.397
    3480.000      -74.753       37.540    511757.787
    3510.000      -76.333       41.597    512044.821
    3540.000      -77.824       46.689    512289.248
    3570.000      -79.192       53.142    512490.002
    3600.000      -80.383       61.332    512646.209
    3630.000      -81.323       71.560    512757.188
    3660.000      -81.925       83.778    512822.456
    3690.000      -82.111       97.242    512841.729
    3720.000      -81.853      110.585    512814.923
    3750.000      -81.190      122.506    512742.155
    3780.000      -80.203      132.391    512623.741
    3810.000      -78.979      140.271    512460.197
    3840.000      -77.588      146.477    512252.237
    3870.000      -76.079      151.379    512000.764
    3900.000      -74.488      155.293    511706.876
    3930.000      -72.836      158.460    511371.854
    3960.000      -71.140      161.058    510997.159
    3990.000      -69.410      163.219    510584.426
    4020.000      -67.654      165.038    510135.456
    4050.000      -65.877      166.585    509652.210
    4080.000      -64.084      167.916    509136.801
    4110.000      -62.278      169.070    508591.483
    4140.000      -60.461      170.079    508018.641
    4170.000      -58.634      170.967    507420.784
    4200.000      -56.800      171.755    506800.533
    4230.000      -54.959      172.458    506160.608
    4260.000      -53.112      173.089    505503.817
    4290.000      -51.260      173.657    504833.045
    4320.000      -49.404      174.172    504151.243
    4350.000      -47.543      174.640    503461.410
    4380.000      -45.679      175.068    502766.583
    4410.000      -43.812      175.460    502069.827
    4440.000      -41.942      175.821    501374.216
    4470.000      -40.068      176.154    500682.820
    4500.000      -38.193      176.463    499998.696
    4530.000      -36.315      176.751    499324.870
    4560.000      -34.435      177.019    498664.326
    4590.000      -32.554      177.269    498019.991
    4620.000      -30.670      177.505    497394.722
    4650.000      -28.785      177.727    496791.295
    4680.000      -26.898      177.936    496212.391
    4710.000      -25.010      178.135    495660.582
    4740.000      -23.121      178.324    495138.324
    4770.000      -21.230      178.504    494647.941
    4800.000      -19.339      178.676    494191.618
    4830.000      -17.446      178.842    493771.390
    4860.000      -15.553      179.002    493389.130
    4890.000      -13.659      179.157    493046.544
    4920.000      -11.764      179.307    492745.161
    4950.000       -9.868      179.454    492486.327
    4980.000       -7.973      179.597    492271.200
    5010.000       -6.076      179.738    492100.739
    5040.000       -4.180      179.877    491975.708
    5070.000       -2.283     -179.985    491896.665
    5100.000       -0.386     -179.847    491863.963
    5130.000        1.511     -179.710    491877.749
    5160.000        3.408     -179.573    491937.962
    5190.000        5.304     -179.434    492044.331
    5220.000        7.201     -179.294    492196.382
    5250.000        9.097     -179.152    492393.435
    5280.000       10.992     -179.006    492634.608
    5310.000       12.887     -178.858    492918.825
    5340.000       14.782     -178.705    493244.815
    5370.000       16.676     -178.547    493611.123
    5400.000       18.569     -178.384    494016.115
    5430.000       20.461     -178.214    494457.983
    5460.000       22.351     -178.037    494934.759
    5490.000       24.241     -177.852    495444.316
    5520.000       26.130     -177.657    495984.386
    5550.000       28.017     -177.453    496552.567
    5580.000       29.903     -177.236    497146.331
    5610.000       31.787     -177.006    497763.039
    5640.000       33.670     -176.762    498399.955
    5670.000       35.550     -176.501    499054.251
    5700.000       37.429     -176.222    499723.028
    5730.000       39.305     -175.922    500403.324
    5760.000       41.179     -175.599    501092.127
    5790.000       43.051     -175.250    501786.393
    5820.000       44.920     -174.871    502483.055
    5850.000       46.785     -174.458    503179.037
    5880.000       48.647     -174.007    503871.271
    5910.000       50.505     -173.512    504556.707
    5940.000       52.359     -172.966    505232.327
    5970.000       54.208     -172.362    505895.161
    6000.000       56.052     -171.690    506542.294
    6030.000       57.889     -170.939    507170.887
    6060.000       59.719     -170.093    507778.180
    6090.000       61.540     -169.135    508361.513
    6120.000       63.351     -168.044    508918.329
    6150.000       65.149     -166.790    509446.191
    6180.000       66.933     -165.336    509942.791
    6210.000       68.698     -163.635    510405.957
    6240.000       70.439     -161.624    510833.666
    6270.000       72.150     -159.217    511224.050
    6300.000       73.822     -156.300    511575.406
    6330.000       75.440     -152.715    511886.201
    6360.000       76.986     -148.249    512155.080
    6390.000       78.430     -142.617    512380.870
    6420.000       79.729     -135.464    512562.590
    6450.000       80.822     -126.424    512699.445
    6480.000       81.628     -115.300    512790.841
    6510.000       82.059     -102.411    512836.380
    6540.000       82.054      -88.815    512835.863
    6570.000       81.614      -75.956    512789.292
    6600.000       80.800      -64.879    512696.871
    6630.000       79.702      -55.884    512559.002
    6660.000       78.399      -48.769    512376.284
    6690.000       76.952      -43.167    512149.515
    6720.000       75.405      -38.724    511879.682
    6750.000       73.785      -35.156    511567.961
    6780.000       72.112      -32.252    511215.712
    6810.000       70.400      -29.855    510824.471
    6840.000       68.658      -27.851    510395.946
    6870.000       66.893      -26.157    509932.007
    6900.000       65.109      -24.708    509434.682
    6930.000       63.310      -23.458    508906.144
    6960.000       61.499      -22.370    508348.705
    6990.000       59.678      -21.415    507764.807
    7020.000       57.848      -20.572    507157.006
    7050.000       56.010      -19.822    506527.967
    7080.000       54.167      -19.151    505880.449
    7110.000       52.318      -18.549    505217.297
    7140.000       50.464      -18.004    504541.424
    7170.000       48.605      -17.510    503855.802
    7200.000       46.743      -17.060    503163.450
    7230.000       44.878      -16.648    502467.419
    7260.000       43.009      -16.270    501770.778
    7290.000       41.137      -15.921    501076.600
    7320.000       39.263      -15.599    500387.955
    7350.000       37.387      -15.299    499707.885
    7380.000       35.508      -15.021    499039.400
    7410.000       33.628      -14.760    498385.462
    7440.000       31.745      -14.516    497748.969
    7470.000       29.861      -14.287    497132.746
    7500.000       27.975      -14.071    496539.528
    7530.000       26.088      -13.866    495971.951
    7560.000       24.199      -13.672    495432.539
    7590.000       22.309      -13.487    494923.693
    7620.000       20.418      -13.310    494447.678
    7650.000       18.526      -13.140    494006.616
    7680.000       16.633      -12.977    493602.473
    7710.000       14.739      -12.820    493237.052
    7740.000       12.845      -12.667    492911.984
    7770.000       10.950      -12.518    492628.720
    7800.000        9.054      -12.373    492388.525
    7830.000        7.158      -12.231    492192.474
    7860.000        5.262      -12.091    492041.441
    7890.000        3.365      -11.952    491936.103
    7920.000        1.468      -11.815    491876.930
    7950.000       -0.429      -11.677    491864.187
    7980.000       -2.325      -11.540    491897.931
    8010.000       -4.222      -11.402    491978.011
    8040.000       -6.119      -11.263    492104.068
    8070.000       -8.015      -11.122    492275.540
    8100.000       -9.911      -10.978    492491.660
    8130.000      -11.806      -10.832    492751.462
    8160.000      -13.701      -10.681    493053.785
    8190.000      -15.595      -10.527    493397.279
    8220.000      -17.489      -10.367    493780.410
    8250.000      -19.381      -10.201    494201.470
    8280.000      -21.273      -10.028    494658.580
    8310.000      -23.163       -9.847    495149.702
    8340.000      -25.053       -9.658    495672.649
    8370.000      -26.941       -9.460    496225.094
    8400.000      -28.827       -9.250    496804.578
    8430.000      -30.712       -9.028    497408.525
    8460.000      -32.596       -8.792    498034.252
    8490.000      -34.478       -8.541    498678.983
    8520.000      -36.357       -8.272    499339.857
    8550.000      -38.235       -7.985    500013.947
    8580.000      -40.111       -7.675    500698.267
    8610.000      -41.984       -7.341    501389.792
    8640.000      -43.854       -6.980    502085.463
    8670.000      -45.721       -6.587    502782.210
    8700.000      -47.585       -6.158    503476.957
    8730.000      -49.446       -5.689    504166.644
    8760.000      -51.302       -5.173    504848.232
    8790.000      -53.154       -4.603    505518.722
    8820.000      -55.001       -3.971    506175.166
    8850.000      -56.841       -3.267    506814.681
    8880.000      -58.676       -2.477    507434.459
    8910.000      -60.502       -1.585    508031.783
    8940.000      -62.319       -0.573    508604.034
    8970.000      -64.125        0.584    509148.707
    9000.000      -65.917        1.919    509663.419
    9030.000      -67.693        3.472    510145.918
    9060.000      -69.449        5.297    510594.096
    9090.000      -71.178        7.467    511005.995
    9120.000      -72.874       10.076    511379.818
    9150.000      -74.524       13.258    511713.932
    9180.000      -76.114       17.191    512006.882
    9210.000      -77.621       22.119    512257.389
    9240.000      -79.009       28.357    512464.363
    9270.000      -80.228       36.280    512626.901
    9300.000      -81.209       46.212    512744.295
    9330.000      -81.864       58.175    512816.035
    9360.000      -82.112       71.537    512841.807
    9390.000      -81.916       84.986    512821.501
    9420.000      -81.305       97.164    512755.203
    9450.000      -80.358      107.346    512643.203
    9480.000      -79.163      115.493    512485.988
    9510.000      -77.792      121.911    512284.244
    9540.000      -76.298      126.976    512038.849
    9570.000      -74.717      131.013    511750.872
    9600.000      -73.072      134.274    511421.570
    9630.000      -71.381      136.944    511052.377
    9660.000      -69.655      139.159    510644.905
    9690.000      -67.903      141.021    510200.933
    9720.000      -66.129      142.604    509722.399
    9750.000      -64.338      143.962    509211.395
    9780.000      -62.534      145.139    508670.154
    9810.000      -60.718      146.167    508101.047
    9840.000      -58.893      147.071    507506.563
