                                 24 May 2018 18:54:42
Satellite-Sat0111


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m)  
------------    ---------    ---------    -----------
       0.000      -58.597     -118.123    1046910.209
      30.000      -56.993     -117.217    1046368.728
      60.000      -55.381     -116.397    1045810.908
      90.000      -53.762     -115.650    1045238.703
     120.000      -52.137     -114.968    1044654.118
     150.000      -50.506     -114.343    1044059.202
     180.000      -48.869     -113.768    1043456.042
     210.000      -47.229     -113.237    1042846.757
     240.000      -45.584     -112.745    1042233.486
     270.000      -43.936     -112.289    1041618.386
     300.000      -42.284     -111.863    1041003.620
     330.000      -40.629     -111.466    1040391.354
     360.000      -38.971     -111.094    1039783.745
     390.000      -37.311     -110.744    1039182.933
     420.000      -35.649     -110.415    1038591.040
     450.000      -33.984     -110.104    1038010.155
     480.000      -32.317     -109.810    1037442.330
     510.000      -30.649     -109.531    1036889.573
     540.000      -28.978     -109.266    1036353.838
     570.000      -27.307     -109.013    1035837.022
     600.000      -25.633     -108.771    1035340.957
     630.000      -23.959     -108.539    1034867.399
     660.000      -22.283     -108.316    1034418.028
     690.000      -20.606     -108.102    1033994.438
     720.000      -18.928     -107.894    1033598.133
     750.000      -17.249     -107.694    1033230.520
     780.000      -15.569     -107.499    1032892.905
     810.000      -13.889     -107.309    1032586.489
     840.000      -12.207     -107.124    1032312.360
     870.000      -10.526     -106.943    1032071.494
     900.000       -8.843     -106.765    1031864.747
     930.000       -7.161     -106.589    1031692.856
     960.000       -5.478     -106.416    1031556.433
     990.000       -3.794     -106.245    1031455.962
    1020.000       -2.111     -106.074    1031391.802
    1050.000       -0.428     -105.905    1031364.182
    1080.000        1.256     -105.735    1031373.199
    1110.000        2.940     -105.565    1031418.821
    1140.000        4.623     -105.394    1031500.887
    1170.000        6.306     -105.222    1031619.103
    1200.000        7.989     -105.048    1031773.049
    1230.000        9.671     -104.872    1031962.177
    1260.000       11.353     -104.692    1032185.814
    1290.000       13.035     -104.509    1032443.163
    1320.000       14.716     -104.321    1032733.310
    1350.000       16.396     -104.129    1033055.223
    1380.000       18.075     -103.932    1033407.757
    1410.000       19.754     -103.728    1033789.659
    1440.000       21.431     -103.517    1034199.573
    1470.000       23.108     -103.299    1034636.044
    1500.000       24.783     -103.072    1035097.523
    1530.000       26.457     -102.835    1035582.372
    1560.000       28.129     -102.588    1036088.873
    1590.000       29.801     -102.329    1036615.232
    1620.000       31.470     -102.057    1037159.585
    1650.000       33.138     -101.770    1037720.005
    1680.000       34.803     -101.468    1038294.511
    1710.000       36.467     -101.149    1038881.073
    1740.000       38.128     -100.810    1039477.618
    1770.000       39.787     -100.450    1040082.041
    1800.000       41.444     -100.065    1040692.212
    1830.000       43.097      -99.655    1041305.978
    1860.000       44.747      -99.214    1041921.179
    1890.000       46.394      -98.741    1042535.649
    1920.000       48.037      -98.230    1043147.227
    1950.000       49.675      -97.678    1043753.764
    1980.000       51.309      -97.079    1044353.130
    2010.000       52.937      -96.427    1044943.221
    2040.000       54.560      -95.715    1045521.968
    2070.000       56.176      -94.933    1046087.341
    2100.000       57.784      -94.072    1046637.362
    2130.000       59.383      -93.120    1047170.103
    2160.000       60.972      -92.061    1047683.703
    2190.000       62.549      -90.879    1048176.365
    2220.000       64.112      -89.552    1048646.367
    2250.000       65.658      -88.052    1049092.070
    2280.000       67.185      -86.349    1049511.915
    2310.000       68.687      -84.400    1049904.441
    2340.000       70.161      -82.156    1050268.276
    2370.000       71.598      -79.554    1050602.154
    2400.000       72.989      -76.516    1050904.910
    2430.000       74.323      -72.944    1051175.491
    2460.000       75.584      -68.725    1051412.955
    2490.000       76.751      -63.727    1051616.474
    2520.000       77.797      -57.815    1051785.341
    2550.000       78.688      -50.883    1051918.968
    2580.000       79.386      -42.902    1052016.890
    2610.000       79.850      -33.999    1052078.767
    2640.000       80.048      -24.495    1052104.384
    2670.000       79.965      -14.881    1052093.650
    2700.000       79.606       -5.681    1052046.605
    2730.000       78.999        2.703    1051963.411
    2760.000       78.182       10.069    1051844.358
    2790.000       77.196       16.389    1051689.859
    2820.000       76.075       21.745    1051500.453
    2850.000       74.849       26.267    1051276.798
    2880.000       73.543       30.089    1051019.673
    2910.000       72.174       33.333    1050729.973
    2940.000       70.754       36.103    1050408.706
    2970.000       69.295       38.485    1050056.992
    3000.000       67.803       40.548    1049676.057
    3030.000       66.286       42.347    1049267.229
    3060.000       64.747       43.925    1048831.933
    3090.000       63.191       45.319    1048371.689
    3120.000       61.619       46.558    1047888.103
    3150.000       60.035       47.665    1047382.866
    3180.000       58.440       48.659    1046857.742
    3210.000       56.835       49.556    1046314.569
    3240.000       55.222       50.368    1045755.247
    3270.000       53.603       51.108    1045181.734
    3300.000       51.977       51.784    1044596.041
    3330.000       50.345       52.404    1044000.221
    3360.000       48.708       52.975    1043396.365
    3390.000       47.067       53.502    1042786.592
    3420.000       45.422       53.990    1042173.045
    3450.000       43.773       54.443    1041557.882
    3480.000       42.121       54.866    1040943.267
    3510.000       40.466       55.260    1040331.363
    3540.000       38.808       55.630    1039724.327
    3570.000       37.148       55.978    1039124.299
    3600.000       35.485       56.305    1038533.396
    3630.000       33.820       56.614    1037953.705
    3660.000       32.153       56.906    1037387.273
    3690.000       30.484       57.184    1036836.103
    3720.000       28.814       57.448    1036302.146
    3750.000       27.142       57.700    1035787.291
    3780.000       25.469       57.941    1035293.362
    3810.000       23.794       58.172    1034822.109
    3840.000       22.118       58.394    1034375.204
    3870.000       20.441       58.608    1033954.232
    3900.000       18.763       58.814    1033560.688
    3930.000       17.084       59.014    1033195.969
    3960.000       15.404       59.208    1032861.370
    3990.000       13.723       59.398    1032558.083
    4020.000       12.042       59.582    1032287.183
    4050.000       10.360       59.763    1032049.637
    4080.000        8.678       59.941    1031846.287
    4110.000        6.995       60.116    1031677.859
    4140.000        5.312       60.289    1031544.952
    4170.000        3.629       60.461    1031448.038
    4200.000        1.946       60.631    1031387.464
    4230.000        0.262       60.800    1031363.444
    4260.000       -1.422       60.970    1031376.064
    4290.000       -3.105       61.140    1031425.280
    4320.000       -4.788       61.311    1031510.915
    4350.000       -6.472       61.483    1031632.666
    4380.000       -8.154       61.658    1031790.098
    4410.000       -9.837       61.834    1031982.652
    4440.000      -11.519       62.014    1032209.641
    4470.000      -13.200       62.198    1032470.259
    4500.000      -14.881       62.386    1032763.577
    4530.000      -16.561       62.578    1033088.554
    4560.000      -18.240       62.776    1033444.033
    4590.000      -19.919       62.981    1033828.752
    4620.000      -21.596       63.192    1034241.344
    4650.000      -23.272       63.412    1034680.345
    4680.000      -24.948       63.640    1035144.196
    4710.000      -26.621       63.877    1035631.252
    4740.000      -28.294       64.126    1036139.787
    4770.000      -29.965       64.386    1036667.999
    4800.000      -31.634       64.659    1037214.019
    4830.000      -33.302       64.947    1037775.913
    4860.000      -34.967       65.251    1038351.696
    4890.000      -36.631       65.572    1038939.331
    4920.000      -38.292       65.913    1039536.745
    4950.000      -39.950       66.276    1040141.829
    4980.000      -41.606       66.662    1040752.449
    5010.000      -43.260       67.076    1041366.452
    5040.000      -44.909       67.519    1041981.677
    5070.000      -46.556       67.996    1042595.959
    5100.000      -48.198       68.510    1043207.137
    5130.000      -49.836       69.067    1043813.063
    5160.000      -51.469       69.671    1044411.610
    5190.000      -53.097       70.328    1045000.676
    5220.000      -54.719       71.047    1045578.197
    5250.000      -56.334       71.836    1046142.148
    5280.000      -57.941       72.706    1046690.554
    5310.000      -59.539       73.668    1047221.495
    5340.000      -61.127       74.738    1047733.114
    5370.000      -62.703       75.933    1048223.622
    5400.000      -64.265       77.276    1048691.307
    5430.000      -65.809       78.794    1049134.534
    5460.000      -67.334       80.520    1049551.757
    5490.000      -68.834       82.495    1049941.520
    5520.000      -70.304       84.771    1050302.464
    5550.000      -71.737       87.412    1050633.331
    5580.000      -73.123       90.498    1050932.968
    5610.000      -74.451       94.128    1051200.332
    5640.000      -75.703       98.418    1051434.493
    5670.000      -76.860      103.500    1051634.634
    5700.000      -77.892      109.508    1051800.059
    5730.000      -78.766      116.544    1051930.194
    5760.000      -79.442      124.624    1052024.584
    5790.000      -79.882      133.605    1052082.903
    5820.000      -80.053      143.143    1052104.946
    5850.000      -79.941      152.738    1052090.639
    5880.000      -79.557      161.873    1052040.029
    5910.000      -78.928      170.163    1051953.294
    5940.000      -78.092      177.424    1051830.734
    5970.000      -77.091     -176.355    1051672.777
    6000.000      -75.958     -171.087    1051479.972
    6030.000      -74.724     -166.640    1051252.989
    6060.000      -73.411     -162.880    1050992.618
    6090.000      -72.036     -159.687    1050699.767
    6120.000      -70.612     -156.958    1050375.455
    6150.000      -69.149     -154.610    1050020.811
    6180.000      -67.655     -152.576    1049637.072
    6210.000      -66.136     -150.801    1049225.576
    6240.000      -64.595     -149.242    1048787.758
