                                24 May 2018 18:54:40
Satellite-RS071


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000       47.485       66.386    503439.855
      30.000       49.345       66.859    504129.539
      60.000       51.201       67.380    504811.268
      90.000       53.052       67.954    505482.041
     120.000       54.897       68.591    506138.909
     150.000       56.737       69.300    506778.987
     180.000       58.570       70.095    507399.464
     210.000       60.396       70.992    507997.621
     240.000       62.211       72.009    508570.835
     270.000       64.016       73.171    509116.595
     300.000       65.807       74.510    509632.515
     330.000       67.581       76.067    510116.337
     360.000       69.335       77.895    510565.946
     390.000       71.062       80.064    510979.380
     420.000       72.756       82.671    511354.834
     450.000       74.404       85.843    511690.668
     480.000       75.992       89.756    511985.418
     510.000       77.497       94.648    512237.800
     540.000       78.884      100.825    512446.714
     570.000       80.104      108.648    512611.249
     600.000       81.090      118.433    512730.688
     630.000       81.755      130.211    512804.512
     660.000       82.021      143.390    512832.399
     690.000       81.847      156.720    512814.227
     720.000       81.260      168.868    512750.076
     750.000       80.334      179.088    512640.225
     780.000       79.157     -172.697    512485.152
     810.000       77.801     -166.203    512285.534
     840.000       76.318     -161.068    512042.238
     870.000       74.745     -156.970    511756.327
     900.000       73.108     -153.658    511429.045
     930.000       71.423     -150.945    511061.821
     960.000       69.702     -148.692    510656.257
     990.000       67.953     -146.799    510214.122
    1020.000       66.183     -145.190    509737.348
    1050.000       64.395     -143.808    509228.018
    1080.000       62.593     -142.611    508688.359
    1110.000       60.780     -141.566    508120.733
    1140.000       58.956     -140.646    507527.625
    1170.000       57.125     -139.831    506911.634
    1200.000       55.286     -139.104    506275.461
    1230.000       53.442     -138.453    505621.898
    1260.000       51.592     -137.866    504953.815
    1290.000       49.737     -137.335    504274.150
    1320.000       47.878     -136.852    503585.893
    1350.000       46.016     -136.411    502892.074
    1380.000       44.150     -136.007    502195.752
    1410.000       42.281     -135.635    501499.998
    1440.000       40.409     -135.292    500807.884
    1470.000       38.534     -134.974    500122.468
    1500.000       36.658     -134.678    499446.783
    1530.000       34.779     -134.402    498783.819
    1560.000       32.898     -134.144    498136.514
    1590.000       31.015     -133.902    497507.739
    1620.000       29.131     -133.674    496900.282
    1650.000       27.245     -133.458    496316.844
    1680.000       25.358     -133.254    495760.016
    1710.000       23.469     -133.060    495232.276
    1740.000       21.579     -132.875    494735.972
    1770.000       19.688     -132.697    494273.316
    1800.000       17.797     -132.527    493846.370
    1830.000       15.904     -132.363    493457.037
    1860.000       14.010     -132.204    493107.054
    1890.000       12.116     -132.050    492797.984
    1920.000       10.221     -131.900    492531.207
    1950.000        8.326     -131.753    492307.915
    1980.000        6.430     -131.608    492129.105
    2010.000        4.534     -131.466    491995.577
    2040.000        2.638     -131.325    491907.928
    2070.000        0.741     -131.184    491866.549
    2100.000       -1.155     -131.044    491871.626
    2130.000       -3.052     -130.904    491923.137
    2160.000       -4.948     -130.762    492020.850
    2190.000       -6.844     -130.620    492164.329
    2220.000       -8.740     -130.475    492352.932
    2250.000      -10.635     -130.327    492585.817
    2280.000      -12.530     -130.176    492861.943
    2310.000      -14.424     -130.021    493180.075
