                                24 May 2018 18:54:41
Satellite-RS106


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000       11.908      131.265    492766.584
      30.000       13.803      131.415    493071.146
      60.000       15.697      131.570    493416.800
      90.000       17.590      131.731    493802.004
     120.000       19.482      131.897    494225.040
     150.000       21.374      132.070    494684.020
     180.000       23.264      132.251    495176.899
     210.000       25.154      132.441    495701.481
     240.000       27.042      132.640    496255.431
     270.000       28.928      132.851    496836.285
     300.000       30.813      133.074    497441.461
     330.000       32.697      133.310    498068.271
     360.000       34.578      133.563    498713.932
     390.000       36.458      133.832    499375.582
     420.000       38.335      134.121    500050.288
     450.000       40.211      134.432    500735.064
     480.000       42.084      134.767    501426.880
     510.000       43.954      135.131    502122.679
     540.000       45.821      135.526    502819.388
     570.000       47.685      135.956    503513.934
     600.000       49.545      136.428    504203.255
     630.000       51.401      136.947    504884.316
     660.000       53.252      137.520    505554.120
     690.000       55.099      138.156    506209.722
     720.000       56.939      138.865    506848.242
     750.000       58.773      139.660    507466.878
     780.000       60.599      140.558    508062.916
     810.000       62.415      141.577    508633.746
     840.000       64.220      142.743    509176.866
     870.000       66.012      144.089    509689.902
     900.000       67.787      145.656    510170.608
     930.000       69.541      147.498    510616.885
     960.000       71.269      149.689    511026.783
     990.000       72.962      152.326    511398.513
    1020.000       74.610      155.543    511730.453
    1050.000       76.196      159.523    512021.156
    1080.000       77.697      164.513    512269.354
    1110.000       79.077      170.832    512473.965
    1140.000       80.285      178.855    512634.098
    1170.000       81.251     -171.102    512749.056
    1200.000       81.886     -159.043    512818.338
    1230.000       82.111     -145.643    512841.642
    1260.000       81.891     -132.235    512818.867
    1290.000       81.260     -120.156    512750.112
    1320.000       80.298     -110.088    512635.676
    1350.000       79.092     -102.044    512476.058
    1380.000       77.713      -95.707    512271.953
    1410.000       76.214      -90.704    512024.250
    1440.000       74.629      -86.714    511734.029
    1470.000       72.981      -83.489    511402.555
    1500.000       71.289      -80.846    511031.273
    1530.000       69.561      -78.651    510621.803
    1560.000       67.807      -76.805    510175.934
    1590.000       66.033      -75.236    509695.611
    1620.000       64.241      -73.888    509182.935
    1650.000       62.436      -72.719    508640.146
    1680.000       60.620      -71.698    508069.621
    1710.000       58.794      -70.800    507473.857
    1740.000       56.960      -70.003    506855.466
    1770.000       55.120      -69.293    506217.158
    1800.000       53.274      -68.657    505561.737
    1830.000       51.422      -68.083    504892.079
    1860.000       49.566      -67.564    504211.131
    1890.000       47.706      -67.091    503521.887
