                                24 May 2018 18:54:39
Satellite-RS011


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000        0.075      -86.417    491863.037
      30.000        1.972      -86.277    491888.117
      60.000        3.868      -86.136    491959.557
      90.000        5.764      -85.994    492077.038
     120.000        7.660      -85.851    492240.035
     150.000        9.556      -85.705    492447.818
     180.000       11.451      -85.556    492699.460
     210.000       13.345      -85.403    492993.835
     240.000       15.239      -85.246    493329.630
     270.000       17.132      -85.084    493705.344
     300.000       19.025      -84.916    494119.302
     330.000       20.916      -84.742    494569.657
     360.000       22.806      -84.559    495054.401
     390.000       24.695      -84.369    495571.375
     420.000       26.583      -84.168    496118.277
     450.000       28.469      -83.957    496692.674
     480.000       30.354      -83.734    497292.011
     510.000       32.238      -83.497    497913.628
     540.000       34.119      -83.245    498554.763
     570.000       35.999      -82.975    499212.573
     600.000       37.876      -82.687    499884.142
     630.000       39.751      -82.377    500566.498
     660.000       41.624      -82.043    501256.620
     690.000       43.494      -81.682    501951.459
     720.000       45.361      -81.290    502647.945
     750.000       47.225      -80.863    503343.004
     780.000       49.085      -80.395    504033.574
     810.000       50.942      -79.882    504716.611
     840.000       52.793      -79.316    505389.110
     870.000       54.640      -78.689    506048.113
     900.000       56.481      -77.991    506690.726
     930.000       58.315      -77.209    507314.126
     960.000       60.141      -76.328    507915.580
     990.000       61.959      -75.330    508492.452
    1020.000       63.765      -74.190    509042.215
    1050.000       65.558      -72.878    509562.463
    1080.000       67.335      -71.355    510050.920
    1110.000       69.092      -69.570    510505.452
    1140.000       70.824      -67.454    510924.073
    1170.000       72.523      -64.917    511304.956
    1200.000       74.179      -61.834    511646.438
    1230.000       75.776      -58.038    511947.030
    1260.000       77.294      -53.301    512205.422
    1290.000       78.701      -47.326    512420.487
    1320.000       79.949      -39.755    512591.288
    1350.000       80.972      -30.254    512717.082
    1380.000       81.688      -18.733    512797.321
    1410.000       82.013       -5.681    512831.654
    1440.000       81.901        7.722    512819.933
    1470.000       81.368       20.102    512762.209
    1500.000       80.484       30.612    512658.733
    1530.000       79.337       39.097    512509.956
    1560.000       78.002       45.809    512316.525
    1590.000       76.534       51.113    512079.283
    1620.000       74.972       55.339    511799.265
    1650.000       73.342       58.747    511477.690
    1680.000       71.663       61.535    511115.961
    1710.000       69.946       63.844    510715.657
    1740.000       68.201       65.782    510278.523
    1770.000       66.433       67.427    509806.470
    1800.000       64.647       68.837    509301.560
    1830.000       62.847       70.056    508766.000
    1860.000       61.035       71.121    508202.134
    1890.000       59.213       72.057    507612.430
    1920.000       57.383       72.885    506999.472
    1950.000       55.545       73.623    506365.948
    1980.000       53.701       74.283    505714.637
    2010.000       51.852       74.878    505048.401
    2040.000       49.998       75.416    504370.166
    2070.000       48.139       75.906    503682.918
    2100.000       46.277       76.352    502989.682
    2130.000       44.412       76.761    502293.513
    2160.000       42.543       77.137    501597.481
    2190.000       40.672       77.483    500904.660
    2220.000       38.797       77.805    500218.110
    2250.000       36.921       78.103    499540.868
    2280.000       35.042       78.382    498875.932
    2310.000       33.162       78.642    498226.247
    2340.000       31.279       78.886    497594.694
    2370.000       29.395       79.116    496984.075
    2400.000       27.510       79.333    496397.103
    2430.000       25.623       79.538    495836.386
    2460.000       23.734       79.734    495304.417
    2490.000       21.844       79.920    494803.565
    2520.000       19.954       80.098    494336.060
    2550.000       18.062       80.269    493903.985
    2580.000       16.169       80.434    493509.268
    2610.000       14.276       80.594    493153.669
    2640.000       12.381       80.748    492838.775
    2670.000       10.487       80.899    492565.993
    2700.000        8.591       81.046    492336.541
    2730.000        6.696       81.191    492151.444
    2760.000        4.799       81.333    492011.531
    2790.000        2.903       81.475    491917.425
    2820.000        1.007       81.615    491869.549
    2850.000       -0.890       81.755    491868.116
    2880.000       -2.786       81.895    491913.133
    2910.000       -4.683       82.036    492004.398
    2940.000       -6.579       82.179    492141.504
    2970.000       -8.474       82.323    492323.836
    3000.000      -10.370       82.470    492550.581
    3030.000      -12.265       82.621    492820.725
    3060.000      -14.159       82.775    493133.061
    3090.000      -16.052       82.934    493486.195
    3120.000      -17.945       83.099    493878.550
    3150.000      -19.837       83.269    494308.375
    3180.000      -21.728       83.447    494773.754
    3210.000      -23.618       83.633    495272.614
    3240.000      -25.506       83.827    495802.731
    3270.000      -27.393       84.032    496361.747
    3300.000      -29.279       84.249    496947.175
    3330.000      -31.163       84.478    497556.413
    3360.000      -33.046       84.721    498186.756
    3390.000      -34.927       84.980    498835.406
    3420.000      -36.805       85.257    499499.486
    3450.000      -38.682       85.554    500176.056
    3480.000      -40.556       85.874    500862.119
    3510.000      -42.428       86.219    501554.642
    3540.000      -44.296       86.594    502250.565
    3570.000      -46.162       87.000    502946.815
    3600.000      -48.025       87.444    503640.321
    3630.000      -49.883       87.930    504328.026
    3660.000      -51.738       88.465    505006.903
    3690.000      -53.587       89.056    505673.965
    3720.000      -55.431       89.713    506326.280
    3750.000      -57.269       90.445    506960.982
    3780.000      -59.100       91.267    507575.287
    3810.000      -60.923       92.196    508166.500
    3840.000      -62.736       93.252    508732.032
    3870.000      -64.537       94.461    509269.407
    3900.000      -66.323       95.858    509776.272
    3930.000      -68.092       97.487    510250.412
    3960.000      -69.839       99.404    510689.755
    3990.000      -71.558      101.688    511092.383
    4020.000      -73.240      104.443    511456.538
    4050.000      -74.873      107.808    511780.631
    4080.000      -76.440      111.976    512063.248
    4110.000      -77.915      117.205    512303.159
    4140.000      -79.260      123.820    512499.318
    4170.000      -80.420      132.186    512650.869
    4200.000      -81.323      142.569    512757.154
    4230.000      -81.880      154.851    512817.708
    4260.000      -82.019      168.228    512832.269
    4290.000      -81.720     -178.658    512800.773
    4320.000      -81.026     -167.021    512723.356
    4350.000      -80.019     -157.394    512600.357
    4380.000      -78.783     -149.713    512432.311
    4410.000      -77.385     -143.649    512219.950
    4440.000      -75.873     -138.845    511964.199
    4470.000      -74.279     -134.999    511666.173
    4500.000      -72.626     -131.877    511327.171
    4530.000      -70.930     -129.310    510948.671
    4560.000      -69.200     -127.172    510532.325
    4590.000      -67.444     -125.368    510079.952
    4620.000      -65.668     -123.831    509593.526
    4650.000      -63.876     -122.507    509075.173
    4680.000      -62.070     -121.358    508527.162
    4710.000      -60.254     -120.351    507951.889
    4740.000      -58.428     -119.464    507351.875
    4770.000      -56.594     -118.677    506729.750
    4800.000      -54.754     -117.973    506088.241
    4830.000      -52.907     -117.342    505430.165
    4860.000      -51.056     -116.773    504758.413
    4890.000      -49.200     -116.257    504075.939
    4920.000      -47.340     -115.787    503385.746
    4950.000      -45.476     -115.357    502690.874
    4980.000      -43.609     -114.963    501994.387
    5010.000      -41.740     -114.600    501299.358
    5040.000      -39.867     -114.264    500608.856
    5070.000      -37.992     -113.953    499925.934
    5100.000      -36.115     -113.664    499253.613
    5130.000      -34.235     -113.393    498594.869
    5160.000      -32.354     -113.140    497952.623
    5190.000      -30.471     -112.902    497329.722
    5220.000      -28.586     -112.678    496728.932
    5250.000      -26.699     -112.466    496152.923
    5280.000      -24.812     -112.265    495604.254
    5310.000      -22.923     -112.074    495085.366
    5340.000      -21.032     -111.891    494598.571
    5370.000      -19.141     -111.716    494146.036
    5400.000      -17.249     -111.548    493729.779
    5430.000      -15.356     -111.386    493351.656
    5460.000      -13.462     -111.228    493013.355
    5490.000      -11.568     -111.075    492716.386
    5520.000       -9.673     -110.926    492462.075
    5550.000       -7.777     -110.780    492251.559
    5580.000       -5.881     -110.636    492085.778
    5610.000       -3.985     -110.495    491965.473
    5640.000       -2.089     -110.354    491891.183
    5670.000       -0.192     -110.214    491863.239
    5700.000        1.704     -110.074    491881.766
    5730.000        3.601     -109.933    491946.683
    5760.000        5.497     -109.792    492057.697
    5790.000        7.393     -109.648    492214.314
    5820.000        9.288     -109.503    492415.832
    5850.000       11.184     -109.354    492661.352
    5880.000       13.078     -109.202    492949.775
    5910.000       14.972     -109.046    493279.815
    5940.000       16.865     -108.885    493649.997
    5970.000       18.758     -108.718    494058.669
    6000.000       20.649     -108.544    494504.008
    6030.000       22.540     -108.363    494984.030
    6060.000       24.429     -108.174    495496.594
    6090.000       26.317     -107.975    496039.420
    6120.000       28.203     -107.765    496610.091
    6150.000       30.089     -107.544    497206.070
    6180.000       31.972     -107.309    497824.709
    6210.000       33.854     -107.059    498463.262
    6240.000       35.734     -106.792    499118.896
    6270.000       37.612     -106.507    499788.704
    6300.000       39.487     -106.200    500469.721
    6330.000       41.360     -105.870    501158.932
    6360.000       43.231     -105.512    501853.291
    6390.000       45.098     -105.125    502549.731
    6420.000       46.963     -104.703    503245.179
    6450.000       48.823     -104.242    503936.567
    6480.000       50.680     -103.735    504620.850
    6510.000       52.533     -103.177    505295.015
    6540.000       54.380     -102.559    505956.099
    6570.000       56.222     -101.872    506601.197
    6600.000       58.057     -101.102    507227.475
    6630.000       59.884     -100.237    507832.187
    6660.000       61.703      -99.256    508412.682
    6690.000       63.511      -98.138    508966.417
    6720.000       65.306      -96.853    509490.969
    6750.000       67.086      -95.363    509984.043
    6780.000       68.846      -93.618    510443.484
    6810.000       70.581      -91.554    510867.284
    6840.000       72.285      -89.082    511253.594
    6870.000       73.948      -86.086    511600.728
    6900.000       75.555      -82.403    511907.171
    6930.000       77.086      -77.815    512171.587
    6960.000       78.511      -72.034    512392.825
    6990.000       79.785      -64.711    512569.919
    7020.000       80.845      -55.497    512702.098
    7050.000       81.609      -44.248    512788.788
    7080.000       81.994      -31.354    512829.609
    7110.000       81.944      -17.913    512824.386
    7140.000       81.466       -5.319    512773.139
    7170.000       80.627        5.477    512676.093
    7200.000       79.512       14.238    512533.670
    7230.000       78.199       21.179    512346.491
    7260.000       76.747       26.660    512115.370
    7290.000       75.197       31.020    511841.315
    7320.000       73.575       34.531    511525.521
    7350.000       71.902       37.396    511169.364
    7380.000       70.190       39.766    510774.398
    7410.000       68.449       41.751    510342.346
    7440.000       66.684       43.433    509875.097
    7470.000       64.900       44.873    509374.690
    7500.000       63.102       46.117    508843.314
    7530.000       61.291       47.202    508283.293
    7560.000       59.471       48.154    507697.079
    7590.000       57.641       48.997    507087.241
    7620.000       55.805       49.746    506456.450
    7650.000       53.961       50.417    505807.476
    7680.000       52.113       51.021    505143.169
    7710.000       50.259       51.566    504466.447
    7740.000       48.402       52.062    503780.287
    7770.000       46.540       52.514    503087.710
    7800.000       44.675       52.928    502391.769
    7830.000       42.807       53.308    501695.531
    7860.000       40.936       53.659    501002.071
    7890.000       39.062       53.983    500314.452
    7920.000       37.186       54.285    499635.714
    7950.000       35.308       54.566    498968.862
    7980.000       33.427       54.829    498316.850
    8010.000       31.545       55.075    497682.567
    8040.000       29.661       55.307    497068.830
    8070.000       27.776       55.526    496478.361
    8100.000       25.889       55.733    495913.787
    8130.000       24.001       55.929    495377.617
    8160.000       22.111       56.117    494872.237
    8190.000       20.220       56.296    494399.899
    8220.000       18.329       56.468    493962.706
    8250.000       16.436       56.634    493562.609
    8280.000       14.543       56.794    493201.392
    8310.000       12.649       56.949    492880.668
    8340.000       10.754       57.100    492601.868
    8370.000        8.859       57.248    492366.238
    8400.000        6.963       57.393    492174.831
    8430.000        5.067       57.536    492028.502
    8460.000        3.171       57.677    491927.905
    8490.000        1.274       57.818    491873.491
    8520.000       -0.622       57.957    491865.503
    8550.000       -2.519       58.098    491903.976
    8580.000       -4.415       58.239    491988.738
    8610.000       -6.311       58.381    492119.410
    8640.000       -8.207       58.525    492295.409
    8670.000      -10.102       58.672    492515.947
    8700.000      -11.997       58.822    492780.038
    8730.000      -13.892       58.975    493086.504
    8760.000      -15.785       59.134    493433.975
    8790.000      -17.678       59.297    493820.900
    8820.000      -19.570       59.467    494245.553
    8850.000      -21.461       59.644    494706.040
    8880.000      -23.351       59.828    495200.309
    8910.000      -25.240       60.022    495726.158
    8940.000      -27.127       60.225    496281.246
    8970.000      -29.013       60.440    496863.104
    9000.000      -30.898       60.667    497469.146
    9030.000      -32.781       60.908    498096.680
    9060.000      -34.661       61.165    498742.920
    9090.000      -36.540       61.439    499405.002
    9120.000      -38.417       61.734    500079.990
    9150.000      -40.292       62.050    500764.898
    9180.000      -42.164       62.391    501456.695
    9210.000      -44.033       62.761    502152.325
    9240.000      -45.899       63.163    502848.715
    9270.000      -47.762       63.601    503542.794
    9300.000      -49.621       64.081    504231.502
    9330.000      -51.476       64.609    504911.806
    9360.000      -53.327       65.191    505580.714
    9390.000      -55.172       65.838    506235.284
    9420.000      -57.011       66.559    506872.641
    9450.000      -58.843       67.368    507489.989
    9480.000      -60.667       68.280    508084.619
    9510.000      -62.481       69.317    508653.926
    9540.000      -64.284       70.503    509195.417
    9570.000      -66.072       71.871    509706.723
    9600.000      -67.844       73.463    510185.608
    9630.000      -69.595       75.336    510629.979
    9660.000      -71.318       77.563    511037.896
    9690.000      -73.005       80.243    511407.577
    9720.000      -74.646       83.512    511737.410
    9750.000      -76.224       87.553    512025.957
    9780.000      -77.713       92.613    512271.959
    9810.000      -79.080       99.011    512474.345
    9840.000      -80.270      107.110    512632.232
    9870.000      -81.214      117.203    512744.934
    9900.000      -81.825      129.248    512811.959
    9930.000      -82.027      142.546    512833.015
    9960.000      -81.788      155.783    512808.011
    9990.000      -81.145      167.678    512737.056
   10020.000      -80.177      177.594    512620.458
