                                24 May 2018 18:54:40
Satellite-RS061


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000       39.646       40.283    500528.023
      30.000       41.519       40.617    501217.697
      60.000       43.389       40.979    501912.251
      90.000       45.256       41.371    502608.619
     120.000       47.120       41.798    503303.728
     150.000       48.980       42.265    503994.511
     180.000       50.836       42.778    504677.928
     210.000       52.688       43.344    505350.969
     240.000       54.534       43.970    506010.675
     270.000       56.375       44.667    506654.148
     300.000       58.209       45.447    507278.562
     330.000       60.035       46.326    507881.179
     360.000       61.852       47.321    508459.357
     390.000       63.659       48.456    509010.564
     420.000       65.452       49.763    509532.387
     450.000       67.229       51.278    510022.545
     480.000       68.986       53.053    510478.893
     510.000       70.718       55.155    510899.440
     540.000       72.418       57.673    511282.349
     570.000       74.075       60.729    511625.949
     600.000       75.675       64.489    511928.741
     630.000       77.196       69.174    512189.406
     660.000       78.607       75.077    512406.807
     690.000       79.862       82.549    512579.996
     720.000       80.896       91.925    512708.220
     750.000       81.629      103.311    512790.921
     780.000       81.976      116.259    512827.737
     810.000       81.887      129.627    512818.509
     840.000       81.377      142.051    512763.277
     870.000       80.513      152.647    512662.281
     900.000       79.381      161.227    512515.961
     930.000       78.057      168.027    512324.955
     960.000       76.597      173.402    512090.094
     990.000       75.042      177.685    511812.402
    1020.000       73.417     -178.860    511493.090
    1050.000       71.741     -176.037    511133.549
    1080.000       70.028     -173.698    510735.349
    1110.000       68.285     -171.736    510300.227
    1140.000       66.519     -170.072    509830.083
    1170.000       64.735     -168.646    509326.972
    1200.000       62.936     -167.412    508793.094
    1230.000       61.125     -166.336    508230.783
    1260.000       59.304     -165.390    507642.502
    1290.000       57.475     -164.553    507030.828
    1320.000       55.638     -163.808    506398.443
    1350.000       53.795     -163.141    505748.122
    1380.000       51.946     -162.540    505082.721
    1410.000       50.093     -161.996    504405.164
    1440.000       48.235     -161.503    503718.432
    1470.000       46.373     -161.052    503025.549
    1500.000       44.508     -160.639    502329.567
    1530.000       42.640     -160.260    501633.557
    1560.000       40.769     -159.910    500940.590
    1590.000       38.895     -159.585    500253.730
    1620.000       37.019     -159.284    499576.012
    1650.000       35.141     -159.003    498910.437
    1680.000       33.261     -158.740    498259.954
    1710.000       31.379     -158.494    497627.446
    1740.000       29.495     -158.262    497015.719
    1770.000       27.609     -158.043    496427.492
    1800.000       25.722     -157.836    495865.376
    1830.000       23.834     -157.639    495331.874
    1860.000       21.945     -157.451    494829.358
    1890.000       20.054     -157.271    494360.068
    1920.000       18.163     -157.098    493926.093
    1950.000       16.270     -156.932    493529.371
    1980.000       14.377     -156.771    493171.669
    2010.000       12.483     -156.615    492854.586
    2040.000       10.588     -156.463    492579.536
    2070.000        8.693     -156.315    492347.748
    2100.000        6.798     -156.169    492160.259
    2130.000        4.902     -156.025    492017.906
    2160.000        3.005     -155.883    491921.326
    2190.000        1.109     -155.742    491870.950
    2220.000       -0.787     -155.601    491867.004
    2250.000       -2.683     -155.459    491909.506
    2280.000       -4.580     -155.317    491998.264
    2310.000       -6.476     -155.174    492132.884
    2340.000       -8.371     -155.029    492312.761
    2370.000      -10.266     -154.880    492537.094
    2400.000      -12.161     -154.729    492804.878
    2430.000      -14.055     -154.574    493114.919
    2460.000      -15.949     -154.414    493465.830
    2490.000      -17.841     -154.249    493856.047
    2520.000      -19.733     -154.077    494283.827
    2550.000      -21.624     -153.899    494747.263
    2580.000      -23.513     -153.712    495244.290
    2610.000      -25.402     -153.517    495772.695
    2640.000      -27.289     -153.311    496330.124
    2670.000      -29.175     -153.094    496914.099
    2700.000      -31.059     -152.865    497522.023
    2730.000      -32.941     -152.621    498151.198
    2760.000      -34.822     -152.361    498798.830
    2790.000      -36.700     -152.083    499462.048
    2820.000      -38.577     -151.786    500137.914
    2850.000      -40.451     -151.466    500823.435
    2880.000      -42.322     -151.120    501515.580
    2910.000      -44.191     -150.746    502211.289
    2940.000      -46.057     -150.339    502907.492
    2970.000      -47.919     -149.895    503601.118
    3000.000      -49.778     -149.409    504289.108
    3030.000      -51.632     -148.875    504968.435
    3060.000      -53.481     -148.284    505636.108
    3090.000      -55.325     -147.629    506289.193
    3120.000      -57.163     -146.897    506924.822
    3150.000      -58.994     -146.077    507540.204
    3180.000      -60.817     -145.151    508132.642
    3210.000      -62.630     -144.099    508699.540
    3240.000      -64.431     -142.894    509238.415
    3270.000      -66.217     -141.504    509746.909
    3300.000      -67.986     -139.884    510222.800
    3330.000      -69.734     -137.978    510664.008
    3360.000      -71.453     -135.709    511068.605
    3390.000      -73.136     -132.977    511434.826
    3420.000      -74.770     -129.642    511761.072
    3450.000      -76.339     -125.517    512045.922
    3480.000      -77.817     -120.348    512288.134
    3510.000      -79.168     -113.816    512486.651
    3540.000      -80.338     -105.561    512640.610
    3570.000      -81.253      -95.310    512749.339
