                              24 May 2018 18:54:39
Aircraft-Aircraft3


Time (EpSec)    Lat (deg)    Lon (deg)    Alt (km)
------------    ---------    ---------    --------
       0.000       22.277      113.223    3.048000
      30.000       22.295      113.211    3.048000
      60.000       22.312      113.199    3.048000
      90.000       22.330      113.187    3.048000
     120.000       22.347      113.175    3.048000
     150.000       22.365      113.162    3.048000
     180.000       22.382      113.150    3.048000
     210.000       22.400      113.138    3.048000
     240.000       22.418      113.126    3.048000
     270.000       22.435      113.114    3.048000
     300.000       22.453      113.101    3.048000
     330.000       22.470      113.089    3.048000
     360.000       22.488      113.077    3.048000
     390.000       22.505      113.065    3.048000
     420.000       22.523      113.052    3.048000
     450.000       22.540      113.040    3.048000
     480.000       22.558      113.028    3.048000
     510.000       22.575      113.016    3.048000
     540.000       22.593      113.003    3.048000
     570.000       22.610      112.991    3.048000
     600.000       22.628      112.979    3.048000
     630.000       22.645      112.967    3.048000
     660.000       22.663      112.954    3.048000
     690.000       22.680      112.942    3.048000
     720.000       22.698      112.930    3.048000
     750.000       22.716      112.918    3.048000
     780.000       22.733      112.905    3.048000
     810.000       22.751      112.893    3.048000
     840.000       22.768      112.881    3.048000
     870.000       22.786      112.868    3.048000
     900.000       22.803      112.856    3.048000
     930.000       22.821      112.844    3.048000
     960.000       22.838      112.832    3.048000
     990.000       22.856      112.819    3.048000
    1020.000       22.873      112.807    3.048000
    1050.000       22.891      112.795    3.048000
    1080.000       22.908      112.782    3.048000
    1110.000       22.926      112.770    3.048000
    1140.000       22.943      112.758    3.048000
    1170.000       22.961      112.745    3.048000
    1200.000       22.978      112.733    3.048000
    1230.000       22.996      112.721    3.048000
    1260.000       23.013      112.708    3.048000
    1290.000       23.031      112.696    3.048000
    1320.000       23.048      112.684    3.048000
    1350.000       23.066      112.671    3.048000
    1380.000       23.083      112.659    3.048000
    1410.000       23.101      112.647    3.048000
    1440.000       23.118      112.634    3.048000
    1470.000       23.136      112.622    3.048000
    1500.000       23.153      112.610    3.048000
    1530.000       23.171      112.597    3.048000
    1560.000       23.188      112.585    3.048000
    1590.000       23.206      112.573    3.048000
    1620.000       23.223      112.560    3.048000
    1650.000       23.241      112.548    3.048000
    1680.000       23.258      112.536    3.048000
    1710.000       23.276      112.523    3.048000
    1740.000       23.293      112.511    3.048000
    1770.000       23.311      112.498    3.048000
    1800.000       23.328      112.486    3.048000
    1830.000       23.346      112.474    3.048000
    1860.000       23.363      112.461    3.048000
    1890.000       23.381      112.449    3.048000
    1920.000       23.398      112.436    3.048000
    1950.000       23.416      112.424    3.048000
    1980.000       23.433      112.412    3.048000
    2010.000       23.451      112.399    3.048000
    2040.000       23.468      112.387    3.048000
    2070.000       23.485      112.374    3.048000
    2100.000       23.503      112.362    3.048000
    2130.000       23.520      112.350    3.048000
    2160.000       23.538      112.337    3.048000
    2190.000       23.555      112.325    3.048000
    2220.000       23.573      112.312    3.048000
    2250.000       23.590      112.300    3.048000
    2280.000       23.608      112.287    3.048000
    2310.000       23.625      112.275    3.048000
    2340.000       23.643      112.263    3.048000
    2370.000       23.660      112.250    3.048000
    2400.000       23.678      112.238    3.048000
    2430.000       23.695      112.225    3.048000
    2460.000       23.713      112.213    3.048000
    2490.000       23.730      112.200    3.048000
    2520.000       23.747      112.188    3.048000
    2550.000       23.765      112.175    3.048000
    2580.000       23.782      112.163    3.048000
    2610.000       23.800      112.150    3.048000
    2640.000       23.817      112.138    3.048000
    2670.000       23.835      112.126    3.048000
    2700.000       23.852      112.113    3.048000
    2730.000       23.870      112.101    3.048000
    2760.000       23.887      112.088    3.048000
    2790.000       23.905      112.076    3.048000
    2820.000       23.922      112.063    3.048000
    2850.000       23.939      112.051    3.048000
    2880.000       23.957      112.038    3.048000
    2910.000       23.974      112.026    3.048000
    2940.000       23.992      112.013    3.048000
    2970.000       24.009      112.001    3.048000
    3000.000       24.027      111.988    3.048000
    3030.000       24.044      111.976    3.048000
    3060.000       24.062      111.963    3.048000
    3090.000       24.079      111.951    3.048000
