                                24 May 2018 18:54:40
Satellite-RS055


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000      -81.743      -66.650    512803.247
      30.000      -81.107      -54.797    512732.674
      60.000      -80.145      -44.894    512616.467
      90.000      -78.943      -36.949    512455.131
     120.000      -77.570      -30.665    512249.369
     150.000      -76.076      -25.686    512000.079
     180.000      -74.495      -21.702    511708.345
     210.000      -72.853      -18.474    511375.440
     240.000      -71.164      -15.823    511002.817
     270.000      -69.441      -13.617    510592.099
     300.000      -67.690      -11.759    510145.082
     330.000      -65.918      -10.177    509663.716
     360.000      -64.129       -8.817    509150.107
     390.000      -62.327       -7.637    508606.499
     420.000      -60.513       -6.605    508035.271
     450.000      -58.689       -5.696    507438.925
     480.000      -56.857       -4.889    506820.075
     510.000      -55.018       -4.170    506181.434
     540.000      -53.174       -3.524    505525.806
     570.000      -51.323       -2.942    504856.070
     600.000      -49.469       -2.415    504175.171
     630.000      -47.610       -1.935    503486.105
     660.000      -45.747       -1.496    502791.907
     690.000      -43.881       -1.094    502095.636
     720.000      -42.012       -0.723    501400.366
     750.000      -40.140       -0.381    500709.165
     780.000      -38.266       -0.064    500025.088
     810.000      -36.389        0.231    499351.163
     840.000      -34.510        0.507    498690.371
     870.000      -32.630        0.765    498045.643
     900.000      -30.747        1.007    497419.836
     930.000      -28.863        1.235    496815.728
     960.000      -26.977        1.451    496236.003
     990.000      -25.090        1.655    495683.238
    1020.000      -23.201        1.850    495159.892
    1050.000      -21.311        2.036    494668.295
    1080.000      -19.421        2.214    494210.636
    1110.000      -17.529        2.385    493788.955
    1140.000      -15.636        2.550    493405.134
    1170.000      -13.743        2.709    493060.883
    1200.000      -11.849        2.865    492757.741
    1230.000       -9.954        3.016    492497.062
    1260.000       -8.059        3.164    492280.008
    1290.000       -6.163        3.310    492107.552
    1320.000       -4.267        3.454    491980.463
    1350.000       -2.371        3.596    491899.311
    1380.000       -0.475        3.738    491864.457
    1410.000        1.422        3.880    491876.057
    1440.000        3.318        4.022    491934.060
    1470.000        5.214        4.165    492038.207
    1500.000        7.110        4.309    492188.031
    1530.000        9.005        4.456    492382.863
    1560.000       10.900        4.606    492621.832
    1590.000       12.794        4.759    492903.870
    1620.000       14.688        4.916    493227.718
    1650.000       16.581        5.079    493591.930
    1680.000       18.474        5.247    493994.879
    1710.000       20.365        5.421    494434.768
    1740.000       22.255        5.603    494909.637
    1770.000       24.144        5.793    495417.369
    1800.000       26.032        5.992    495955.703
    1830.000       27.919        6.202    496522.244
    1860.000       29.804        6.424    497114.472
    1890.000       31.687        6.659    497729.755
    1920.000       33.569        6.909    498365.363
    1950.000       35.449        7.175    499018.473
