                                 24 May 2018 18:54:42
Satellite-Sat0104


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m)  
------------    ---------    ---------    -----------
       0.000       80.054      -10.974    1052105.101
      30.000       79.900       -1.418    1052085.231
      60.000       79.476        7.608    1052029.078
      90.000       78.812       15.747    1051936.838
     120.000       77.949       22.847    1051808.831
     150.000       76.925       28.914    1051645.501
     180.000       75.775       34.048    1051447.419
     210.000       74.528       38.381    1051215.273
     240.000       73.204       42.047    1050949.870
     270.000       71.821       45.163    1050652.135
     300.000       70.390       47.829    1050323.105
     330.000       68.922       50.124    1049963.926
     360.000       67.424       52.116    1049575.851
     390.000       65.901       53.855    1049160.231
     420.000       64.357       55.385    1048718.517
     450.000       62.797       56.737    1048252.251
     480.000       61.222       57.941    1047763.061
     510.000       59.635       59.018    1047252.655
     540.000       58.037       59.986    1046722.819
     570.000       56.430       60.860    1046175.405
     600.000       54.816       61.654    1045612.329
     630.000       53.194       62.377    1045035.564
     660.000       51.567       63.038    1044447.131
     690.000       49.934       63.645    1043849.093
     720.000       48.296       64.204    1043243.549
     750.000       46.654       64.721    1042632.625
     780.000       45.008       65.200    1042018.469
     810.000       43.358       65.645    1041403.240
     840.000       41.705       66.060    1040789.102
     870.000       40.050       66.448    1040178.220
     900.000       38.391       66.812    1039572.745
     930.000       36.730       67.155    1038974.813
     960.000       35.067       67.477    1038386.534
     990.000       33.401       67.782    1037809.985
    1020.000       31.734       68.070    1037247.204
    1050.000       30.065       68.345    1036700.180
    1080.000       28.394       68.606    1036170.849
    1110.000       26.721       68.855    1035661.086
    1140.000       25.048       69.093    1035172.696
    1170.000       23.373       69.321    1034707.410
    1200.000       21.696       69.541    1034266.878
    1230.000       20.019       69.753    1033852.664
    1260.000       18.341       69.958    1033466.238
    1290.000       16.662       70.156    1033108.973
    1320.000       14.981       70.349    1032782.138
    1350.000       13.301       70.538    1032486.896
    1380.000       11.619       70.721    1032224.295
    1410.000        9.937       70.901    1031995.270
    1440.000        8.255       71.078    1031800.636
    1470.000        6.572       71.253    1031641.085
    1500.000        4.889       71.425    1031517.187
    1530.000        3.206       71.596    1031429.381
    1560.000        1.522       71.766    1031377.980
    1590.000       -0.161       71.936    1031363.168
    1620.000       -1.845       72.106    1031384.997
    1650.000       -3.528       72.276    1031443.390
