                                 24 May 2018 18:54:42
Satellite-Sat0109


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m)  
------------    ---------    ---------    -----------
       0.000      -58.746       95.363    1046959.785
      30.000      -60.339       96.377    1047481.239
      60.000      -61.921       97.508    1047982.463
      90.000      -63.490       98.774    1048461.706
     120.000      -65.043      100.202    1048917.293
     150.000      -66.578      101.819    1049347.633
     180.000      -68.091      103.665    1049751.226
     210.000      -69.577      105.784    1050126.663
     240.000      -71.029      108.235    1050472.636
     270.000      -72.440      111.089    1050787.939
     300.000      -73.799      114.435    1051071.474
     330.000      -75.091      118.380    1051322.254
     360.000      -76.298      123.052    1051539.405
     390.000      -77.396      128.584    1051722.171
     420.000      -78.353      135.100    1051869.918
     450.000      -79.133      142.667    1051982.130
     480.000      -79.695      151.230    1052058.418
     510.000      -80.003      160.545    1052098.517
     540.000      -80.032      170.180    1052102.286
     570.000      -79.781      179.603    1052069.713
     600.000      -79.269     -171.651    1052000.911
     630.000      -78.531     -163.868    1051896.119
     660.000      -77.607     -157.136    1051755.701
     690.000      -76.536     -151.409    1051580.147
     720.000      -75.349     -146.571    1051370.068
     750.000      -74.073     -142.486    1051126.193
     780.000      -72.727     -139.025    1050849.372
     810.000      -71.325     -136.077    1050540.569
     840.000      -69.881     -133.549    1050200.859
     870.000      -68.402     -131.366    1049831.427
     900.000      -66.894     -129.468    1049433.559
     930.000      -65.363     -127.806    1049008.644
     960.000      -63.813     -126.342    1048558.164
     990.000      -62.248     -125.045    1048083.691
    1020.000      -60.668     -123.888    1047586.883
    1050.000      -59.077     -122.851    1047069.476
    1080.000      -57.476     -121.917    1046533.278
    1110.000      -55.867     -121.072    1045980.166
    1140.000      -54.250     -120.304    1045412.076
    1170.000      -52.626     -119.604    1044830.998
    1200.000      -50.996     -118.962    1044238.969
    1230.000      -49.362     -118.373    1043638.066
    1260.000      -47.722     -117.829    1043030.397
    1290.000      -46.079     -117.326    1042418.098
    1320.000      -44.431     -116.860    1041803.320
    1350.000      -42.781     -116.425    1041188.227
    1380.000      -41.127     -116.020    1040574.982
    1410.000      -39.470     -115.640    1039965.747
    1440.000      -37.810     -115.284    1039362.668
    1470.000      -36.149     -114.949    1038767.874
    1500.000      -34.484     -114.633    1038183.463
    1530.000      -32.818     -114.334    1037611.499
    1560.000      -31.150     -114.051    1037054.005
    1590.000      -29.481     -113.781    1036512.952
    1620.000      -27.809     -113.525    1035990.254
    1650.000      -26.136     -113.280    1035487.764
    1680.000      -24.462     -113.045    1035007.261
    1710.000      -22.787     -112.819    1034550.449
    1740.000      -21.110     -112.602    1034118.948
    1770.000      -19.432     -112.393    1033714.290
    1800.000      -17.754     -112.191    1033337.911
    1830.000      -16.074     -111.994    1032991.150
    1860.000      -14.394     -111.803    1032675.237
    1890.000      -12.713     -111.616    1032391.296
    1920.000      -11.031     -111.434    1032140.337
    1950.000       -9.349     -111.255    1031923.253
    1980.000       -7.667     -111.079    1031740.816
    2010.000       -5.984     -110.905    1031593.676
    2040.000       -4.300     -110.733    1031482.356
    2070.000       -2.617     -110.563    1031407.253
    2100.000       -0.934     -110.393    1031368.634
    2130.000        0.750     -110.223    1031366.637
    2160.000        2.434     -110.054    1031401.269
    2190.000        4.117     -109.883    1031472.406
    2220.000        5.800     -109.711    1031579.795
    2250.000        7.483     -109.538    1031723.055
    2280.000        9.166     -109.362    1031901.674
    2310.000       10.848     -109.183    1032115.017
    2340.000       12.530     -109.001    1032362.325
    2370.000       14.211     -108.815    1032642.718
    2400.000       15.891     -108.625    1032955.198
    2430.000       17.571     -108.429    1033298.656
    2460.000       19.249     -108.227    1033671.869
    2490.000       20.927     -108.018    1034073.513
    2520.000       22.604     -107.802    1034502.161
    2550.000       24.280     -107.578    1034956.292
    2580.000       25.954     -107.344    1035434.294
    2610.000       27.627     -107.100    1035934.473
    2640.000       29.298     -106.845    1036455.057
    2670.000       30.968     -106.577    1036994.201
    2700.000       32.637     -106.295    1037549.998
    2730.000       34.303     -105.998    1038120.482
    2760.000       35.967     -105.684    1038703.636
    2790.000       37.629     -105.351    1039297.401
    2820.000       39.289     -104.997    1039899.679
    2850.000       40.946     -104.621    1040508.348
    2880.000       42.600     -104.218    1041121.260
    2910.000       44.252     -103.787    1041736.258
    2940.000       45.899     -103.324    1042351.175
    2970.000       47.543     -102.825    1042963.849
    3000.000       49.183     -102.286    1043572.126
    3030.000       50.819     -101.702    1044173.870
    3060.000       52.449     -101.067    1044766.968
    3090.000       54.073     -100.373    1045349.339
    3120.000       55.691      -99.613    1045918.943
    3150.000       57.301      -98.777    1046473.782
    3180.000       58.903      -97.853    1047011.916
    3210.000       60.495      -96.829    1047531.461
    3240.000       62.076      -95.686    1048030.600
    3270.000       63.644      -94.404    1048507.590
    3300.000       65.195      -92.960    1048960.763
    3330.000       66.728      -91.322    1049388.538
    3360.000       68.239      -89.452    1049789.423
    3390.000       69.721      -87.303    1050162.019
    3420.000       71.170      -84.816    1050505.028
    3450.000       72.576      -81.918    1050817.254
    3480.000       73.929      -78.518    1051097.610
    3510.000       75.214      -74.506    1051345.119
    3540.000       76.412      -69.757    1051558.920
    3570.000       77.497      -64.133    1051738.269
    3600.000       78.438      -57.515    1051882.542
    3630.000       79.199      -49.845    1051991.237
    3660.000       79.737      -41.194    1052063.976
    3690.000       80.018      -31.824    1052100.506
    3720.000       80.020      -22.187    1052100.699
    3750.000       79.742      -12.812    1052064.556
    3780.000       79.206       -4.152    1051992.202
    3810.000       78.448        3.529    1051883.889
    3840.000       77.508       10.158    1051739.992
    3870.000       76.424       15.792    1051561.014
    3900.000       75.227       20.551    1051347.576
    3930.000       73.943       24.569    1051100.422
    3960.000       72.591       27.975    1050820.411
    3990.000       71.185       30.878    1050508.519
    4020.000       69.737       33.369    1050165.832
    4050.000       68.255       35.521    1049793.545
    4080.000       66.744       37.394    1049392.954
    4110.000       65.212       39.034    1048965.457
    4140.000       63.660       40.481    1048512.547
    4170.000       62.093       41.764    1048035.802
    4200.000       60.512       42.908    1047536.890
    4230.000       58.920       43.934    1047017.553
    4260.000       57.318       44.858    1046479.608
    4290.000       55.708       45.695    1045924.936
    4320.000       54.090       46.456    1045355.479
    4350.000       52.466       47.150    1044773.233
    4380.000       50.836       47.786    1044180.239
    4410.000       49.201       48.371    1043578.576
    4440.000       47.561       48.910    1042970.357
    4470.000       45.917       49.410    1042357.718
    4500.000       44.269       49.873    1041742.813
    4530.000       42.618       50.304    1041127.806
    4560.000       40.964       50.707    1040514.860
    4590.000       39.307       51.084    1039906.135
    4620.000       37.647       51.438    1039303.776
    4650.000       35.985       51.771    1038709.910
    4680.000       34.321       52.086    1038126.632
    4710.000       32.654       52.383    1037556.002
    4740.000       30.986       52.665    1037000.038
    4770.000       29.316       52.933    1036460.706
    4800.000       27.645       53.188    1035939.915
    4830.000       25.972       53.432    1035439.509
    4860.000       24.297       53.666    1034961.261
    4890.000       22.622       53.891    1034506.868
    4920.000       20.945       54.107    1034077.940
    4950.000       19.267       54.316    1033676.001
    4980.000       17.588       54.517    1033302.477
    5010.000       15.909       54.713    1032958.696
    5040.000       14.228       54.904    1032645.879
    5070.000       12.547       55.090    1032365.139
    5100.000       10.866       55.272    1032117.474
    5130.000        9.184       55.451    1031903.765
    5160.000        7.501       55.627    1031724.772
    5190.000        5.818       55.800    1031581.133
    5220.000        4.135       55.972    1031473.359
    5250.000        2.451       56.142    1031401.835
    5280.000        0.768       56.312    1031366.813
    5310.000       -0.916       56.482    1031368.420
    5340.000       -2.599       56.652    1031406.649
    5370.000       -4.282       56.822    1031481.365
    5400.000       -5.966       56.994    1031592.301
    5430.000       -7.649       57.168    1031739.062
    5460.000       -9.331       57.344    1031921.126
    5490.000      -11.013       57.523    1032137.845
    5520.000      -12.695       57.705    1032388.448
    5550.000      -14.376       57.892    1032672.042
    5580.000      -16.056       58.083    1032987.620
    5610.000      -17.736       58.279    1033334.060
    5640.000      -19.414       58.482    1033710.130
    5670.000      -21.092       58.691    1034114.495
    5700.000      -22.769       58.908    1034545.718
    5730.000      -24.444       59.133    1035002.269
    5760.000      -26.118       59.368    1035482.528
    5790.000      -27.791       59.613    1035984.794
    5820.000      -29.463       59.869    1036507.286
    5850.000      -31.133       60.138    1037048.154
    5880.000      -32.801       60.422    1037605.483
    5910.000      -34.467       60.720    1038177.304
    5940.000      -36.131       61.036    1038761.593
    5970.000      -37.793       61.371    1039356.289
    6000.000      -39.452       61.727    1039959.291
    6030.000      -41.109       62.106    1040568.472
    6060.000      -42.763       62.511    1041181.686
    6090.000      -44.414       62.945    1041796.771
    6120.000      -46.061       63.412    1042411.564
    6150.000      -47.705       63.914    1043023.901
    6180.000      -49.344       64.457    1043631.631
    6210.000      -50.979       65.046    1044232.617
    6240.000      -52.609       65.687    1044824.752
    6270.000      -54.232       66.387    1045405.958
    6300.000      -55.849       67.154    1045974.197
    6330.000      -57.459       67.998    1046527.480
    6360.000      -59.060       68.931    1047063.868
    6390.000      -60.651       69.967    1047581.486
    6420.000      -62.231       71.122    1048078.523
    6450.000      -63.797       72.418    1048553.243
    6480.000      -65.347       73.880    1049003.987
    6510.000      -66.878       75.540    1049429.183
    6540.000      -68.386       77.435    1049827.346
    6570.000      -69.865       79.614    1050197.089
    6600.000      -71.310       82.138    1050537.122
    6630.000      -72.712       85.081    1050846.260
    6660.000      -74.059       88.536    1051123.427
    6690.000      -75.336       92.614    1051367.658
    6720.000      -76.524       97.444    1051578.102
    6750.000      -77.596      103.161    1051754.028
    6780.000      -78.522      109.881    1051894.822
    6810.000      -79.262      117.654    1051999.996
    6840.000      -79.777      126.390    1052069.183
    6870.000      -80.031      135.808    1052102.143
    6900.000      -80.004      145.443    1052098.761
    6930.000      -79.700      154.765    1052059.050
    6960.000      -79.140      163.338    1051983.146
    6990.000      -78.363      170.916    1051871.314
    7020.000      -77.407      177.443    1051723.944
    7050.000      -76.311     -177.015    1051541.547
    7080.000      -75.104     -172.335    1051324.759
    7110.000      -73.813     -168.382    1051074.333
    7140.000      -72.455     -165.030    1050791.142
    7170.000      -71.045     -162.172    1050476.171
    7200.000      -69.593     -159.717    1050130.519
    7230.000      -68.107     -157.595    1049755.389
    7260.000      -66.595     -155.747    1049352.088
    7290.000      -65.060     -154.127    1048922.025
    7320.000      -63.507     -152.698    1048466.699
    7350.000      -61.938     -151.430    1047987.699
    7380.000      -60.356     -150.298    1047486.700
    7410.000      -58.763     -149.282    1046965.451
    7440.000      -57.160     -148.367    1046425.776
    7470.000      -55.549     -147.538    1045869.563
    7500.000      -53.931     -146.785    1045298.759
    7530.000      -52.306     -146.096    1044715.365
    7560.000      -50.675     -145.466    1044121.425
    7590.000      -49.040     -144.886    1043519.023
    7620.000      -47.399     -144.350    1042910.274
    7650.000      -45.755     -143.855    1042297.317
    7680.000      -44.107     -143.395    1041682.306
    7710.000      -42.456     -142.966    1041067.404
    7740.000      -40.801     -142.566    1040454.778
    7770.000      -39.144     -142.191    1039846.584
    7800.000      -37.484     -141.840    1039244.967
    7830.000      -35.821     -141.508    1038652.049
    7860.000      -34.157     -141.196    1038069.924
    7890.000      -32.490     -140.900    1037500.648
    7920.000      -30.822     -140.620    1036946.233
    7950.000      -29.152     -140.353    1036408.640
    7980.000      -27.480     -140.099    1035889.773
    8010.000      -25.807     -139.856    1035391.468
    8040.000      -24.133     -139.623    1034915.492
    8070.000      -22.457     -139.399    1034463.533
    8100.000      -20.780     -139.184    1034037.193
    8130.000      -19.102     -138.976    1033637.987
    8160.000      -17.423     -138.775    1033267.331
    8190.000      -15.744     -138.579    1032926.542
    8220.000      -14.063     -138.389    1032616.832
    8250.000      -12.382     -138.203    1032339.302
    8280.000      -10.700     -138.022    1032094.939
    8310.000       -9.018     -137.843    1031884.612
    8340.000       -7.336     -137.668    1031709.070
    8370.000       -5.653     -137.494    1031568.937
    8400.000       -3.969     -137.323    1031464.713
    8430.000       -2.286     -137.152    1031396.769
    8460.000       -0.602     -136.983    1031365.346
    8490.000        1.081     -136.813    1031370.557
    8520.000        2.765     -136.643    1031412.382
    8550.000        4.448     -136.473    1031490.674
    8580.000        6.131     -136.301    1031605.153
    8610.000        7.814     -136.127    1031755.411
    8640.000        9.497     -135.950    1031940.914
    8670.000       11.179     -135.771    1032161.001
    8700.000       12.860     -135.588    1032414.890
    8730.000       14.541     -135.402    1032701.676
    8760.000       16.221     -135.210    1033020.341
    8790.000       17.901     -135.013    1033369.751
    8820.000       19.579     -134.810    1033748.665
    8850.000       21.257     -134.600    1034155.736
    8880.000       22.934     -134.382    1034589.519
    8910.000       24.609     -134.156    1035048.475
    8940.000       26.283     -133.920    1035530.976
    8970.000       27.956     -133.674    1036035.311
    9000.000       29.627     -133.417    1036559.693
    9030.000       31.297     -133.146    1037102.266
    9060.000       32.965     -132.861    1037661.109
    9090.000       34.630     -132.561    1038234.246
    9120.000       36.294     -132.243    1038819.651
    9150.000       37.956     -131.907    1039415.257
    9180.000       39.615     -131.549    1040018.962
    9210.000       41.272     -131.167    1040628.635
    9240.000       42.926     -130.759    1041242.129
    9270.000       44.576     -130.322    1041857.282
    9300.000       46.223     -129.852    1042471.929
    9330.000       47.866     -129.346    1043083.909
    9360.000       49.505     -128.798    1043691.070
    9390.000       51.140     -128.205    1044291.279
    9420.000       52.769     -127.558    1044882.431
    9450.000       54.392     -126.852    1045462.451
    9480.000       56.008     -126.078    1046029.307
    9510.000       57.617     -125.226    1046581.013
    9540.000       59.217     -124.284    1047115.638
    9570.000       60.807     -123.237    1047631.311
    9600.000       62.385     -122.069    1048126.230
    9630.000       63.950     -120.757    1048598.664
    9660.000       65.498     -119.278    1049046.964
    9690.000       67.027     -117.597    1049469.566
    9720.000       68.533     -115.676    1049864.995
    9750.000       70.009     -113.466    1050231.871
    9780.000       71.450     -110.904    1050568.917
    9810.000       72.847     -107.915    1050874.957
    9840.000       74.188     -104.404    1051148.926
    9870.000       75.457     -100.258    1051389.870
    9900.000       76.635      -95.347    1051596.951
    9930.000       77.695      -89.536    1051769.446
    9960.000       78.604      -82.713    1051906.758
    9990.000       79.323      -74.839    1052008.407
   10020.000       79.814      -66.019    1052074.040
   10050.000       80.041      -56.557    1052103.429
   10080.000       79.987      -46.929    1052096.472
   10110.000       79.656      -37.664    1052053.193
   10140.000       79.073      -29.182    1051973.742
   10170.000       78.276      -21.707    1051858.397
   10200.000       77.305      -15.281    1051707.557
   10230.000       76.196       -9.830    1051521.748
   10260.000       74.981       -5.228    1051301.616
   10290.000       73.682       -1.339    1051047.927
   10320.000       72.318        1.959    1050761.565
   10350.000       70.903        4.775    1050443.527
   10380.000       69.448        7.194    1050094.920
   10410.000       67.960        9.287    1049716.960
   10440.000       66.445       11.111    1049310.964
   10470.000       64.908       12.710    1048878.348
   10500.000       63.353       14.122    1048420.622
   10530.000       61.783       15.376    1047939.383
   10560.000       60.200       16.495    1047436.313
   10590.000       58.606       17.500    1046913.170
   10620.000       57.002       18.406    1046371.784
   10650.000       55.390       19.227    1045814.049
   10680.000       53.771       19.974    1045241.917
   10710.000       52.146       20.657    1044657.394
   10740.000       50.515       21.282    1044062.529
   10770.000       48.879       21.857    1043459.408
   10800.000       47.238       22.389    1042850.150
   10830.000       45.593       22.880    1042236.895
   10860.000       43.945       23.337    1041621.799
   10890.000       42.293       23.763    1041007.025
   10920.000       40.638       24.160    1040394.738
   10950.000       38.981       24.533    1039787.096
   10980.000       37.320       24.882    1039186.241
   11010.000       35.658       25.211    1038594.292
   11040.000       33.993       25.522    1038013.340
   11070.000       32.326       25.816    1037445.437
   11100.000       30.658       26.096    1036892.590
   11130.000       28.988       26.361    1036356.755
   11160.000       27.316       26.614    1035839.829
   11190.000       25.643       26.856    1035343.643
   11220.000       23.968       27.088    1034869.956
   11250.000       22.292       27.311    1034420.446
   11280.000       20.615       27.525    1033996.709
   11310.000       18.937       27.733    1033600.249
   11340.000       17.258       27.933    1033232.473
   11370.000       15.578       28.128    1032894.689
   11400.000       13.898       28.318    1032588.096
   11430.000       12.217       28.503    1032313.786
   11460.000       10.535       28.684    1032072.733
   11490.000        8.853       28.863    1031865.796
   11520.000        7.170       29.038    1031693.710
   11550.000        5.487       29.211    1031557.089
   11580.000        3.804       29.382    1031456.418
   11610.000        2.120       29.553    1031392.057
   11640.000        0.437       29.722    1031364.234
   11670.000       -1.247       29.892    1031373.048
   11700.000       -2.930       30.062    1031418.469
   11730.000       -4.614       30.233    1031500.333
   11760.000       -6.297       30.405    1031618.351
   11790.000       -7.980       30.579    1031772.101
   11820.000       -9.662       30.756    1031961.036
   11850.000      -11.344       30.935    1032184.484
   11880.000      -13.026       31.118    1032441.650
   11910.000      -14.706       31.306    1032731.619
   11940.000      -16.387       31.498    1033053.359
   11970.000      -18.066       31.695    1033405.728
   12000.000      -19.744       31.899    1033787.472
   12030.000      -21.422       32.110    1034197.235
   12060.000      -23.098       32.328    1034633.564
   12090.000      -24.774       32.555    1035094.909
   12120.000      -26.448       32.792    1035579.634
   12150.000      -28.120       33.039    1036086.021
   12180.000      -29.791       33.298    1036612.276
   12210.000      -31.461       33.570    1037156.535
   12240.000      -33.128       33.856    1037716.873
   12270.000      -34.794       34.158    1038291.307
   12300.000      -36.458       34.477    1038877.808
   12330.000      -38.119       34.816    1039474.304
   12360.000      -39.778       35.176    1040078.691
   12390.000      -41.435       35.560    1040688.836
   12420.000      -43.088       35.971    1041302.589
   12450.000      -44.738       36.411    1041917.788
   12480.000      -46.385       36.884    1042532.269
   12510.000      -48.028       37.394    1043143.870
   12540.000      -49.666       37.946    1043750.441
   12570.000      -51.300       38.545    1044349.853
   12600.000      -52.929       39.197    1044940.002
   12630.000      -54.551       39.909    1045518.817
   12660.000      -56.167       40.690    1046084.271
   12690.000      -57.775       41.551    1046634.382
   12720.000      -59.374       42.503    1047167.225
   12750.000      -60.963       43.560    1047680.936
   12780.000      -62.540       44.742    1048173.719
   12810.000      -64.103       46.068    1048643.852
   12840.000      -65.650       47.567    1049089.693
   12870.000      -67.176       49.269    1049509.687
   12900.000      -68.679       51.216    1049902.367
   12930.000      -70.153       53.458    1050266.365
   12960.000      -71.590       56.058    1050600.412
   12990.000      -72.982       59.094    1050903.344
   13020.000      -74.316       62.662    1051174.106
   13050.000      -75.577       66.877    1051411.755
   13080.000      -76.745       71.871    1051615.464
   13110.000      -77.791       77.777    1051784.525
   13140.000      -78.684       84.704    1051918.348
   13170.000      -79.383       92.678    1052016.469
   13200.000      -79.848      101.578    1052078.546
   13230.000      -80.048      111.080    1052104.363
   13260.000      -79.966      120.695    1052093.831
   13290.000      -79.609      129.898    1052046.986
   13320.000      -79.003      138.288    1051963.991
   13350.000      -78.188      145.659    1051845.135
   13380.000      -77.201      151.985    1051690.831
   13410.000      -76.081      157.347    1051501.616
   13440.000      -74.857      161.873    1051278.148
   13470.000      -73.551      165.698    1051021.206
   13500.000      -72.181      168.945    1050731.682
   13530.000      -70.762      171.718    1050410.587
   13560.000      -69.303      174.102    1050059.038
   13590.000      -67.812      176.166    1049678.260
   13620.000      -66.294      177.966    1049269.582
   13650.000      -64.756      179.545    1048834.428
   13680.000      -63.199     -179.059    1048374.317
   13710.000      -61.628     -177.820    1047890.855
   13740.000      -60.044     -176.712    1047385.732
   13770.000      -58.449     -175.718    1046860.713
   13800.000      -56.844     -174.821    1046317.634
   13830.000      -55.231     -174.008    1045758.395
   13860.000      -53.612     -173.267    1045184.955
   13890.000      -51.986     -172.591    1044599.323
   13920.000      -50.354     -171.971    1044003.553
   13950.000      -48.717     -171.400    1043399.735
   13980.000      -47.076     -170.873    1042789.988
   14010.000      -45.431     -170.385    1042176.456
   14040.000      -43.782     -169.931    1041561.295
   14070.000      -42.130     -169.508    1040946.669
   14100.000      -40.475     -169.114    1040334.744
   14130.000      -38.817     -168.744    1039727.675
   14160.000      -37.157     -168.396    1039127.601
   14190.000      -35.494     -168.069    1038536.642
   14220.000      -33.829     -167.760    1037956.882
   14250.000      -32.162     -167.467    1037390.371
   14280.000      -30.494     -167.189    1036839.111
   14310.000      -28.823     -166.925    1036305.053
   14340.000      -27.151     -166.673    1035790.087
   14370.000      -25.478     -166.432    1035296.036
   14400.000      -23.803     -166.201    1034824.653
   14430.000      -22.127     -165.979    1034377.608
   14460.000      -20.450     -165.766    1033956.488
   14490.000      -18.772     -165.559    1033562.788
   14520.000      -17.093     -165.359    1033197.905
   14550.000      -15.413     -165.164    1032863.137
   14580.000      -13.733     -164.975    1032559.673
   14610.000      -12.051     -164.790    1032288.591
   14640.000      -10.370     -164.609    1032050.858
   14670.000       -8.687     -164.432    1031847.317
   14700.000       -7.005     -164.257    1031678.694
   14730.000       -5.322     -164.084    1031545.588
   14760.000       -3.638     -163.912    1031448.474
   14790.000       -1.955     -163.742    1031387.698
   14820.000       -0.271     -163.573    1031363.476
   14850.000        1.412     -163.403    1031375.894
   14880.000        3.096     -163.233    1031424.907
   14910.000        4.779     -163.062    1031510.342
   14940.000        6.462     -162.890    1031631.895
   14970.000        8.145     -162.715    1031789.131
   15000.000        9.827     -162.539    1031981.492
   15030.000       11.509     -162.359    1032208.294
   15060.000       13.191     -162.175    1032468.728
   15090.000       14.872     -161.987    1032761.869
   15120.000       16.552     -161.795    1033086.674
   15150.000       18.231     -161.597    1033441.988
   15180.000       19.909     -161.392    1033826.550
   15210.000       21.587     -161.181    1034238.992
   15240.000       23.263     -160.962    1034677.851
   15270.000       24.938     -160.734    1035141.569
   15300.000       26.612     -160.496    1035628.503
   15330.000       28.285     -160.248    1036136.924
   15360.000       29.956     -159.988    1036665.033
   15390.000       31.625     -159.714    1037210.960
   15420.000       33.292     -159.427    1037772.773
   15450.000       34.958     -159.123    1038348.485
   15480.000       36.621     -158.802    1038936.061
   15510.000       38.283     -158.461    1039533.427
   15540.000       39.941     -158.099    1040138.475
   15570.000       41.597     -157.712    1040749.071
   15600.000       43.250     -157.299    1041363.062
   15630.000       44.900     -156.855    1041978.287
   15660.000       46.547     -156.379    1042592.580
   15690.000       48.189     -155.865    1043203.782
   15720.000       49.827     -155.309    1043809.744
   15750.000       51.460     -154.705    1044408.338
   15780.000       53.088     -154.048    1044997.463
   15810.000       54.710     -153.329    1045575.054
   15840.000       56.325     -152.540    1046139.086
   15870.000       57.932     -151.671    1046687.583
   15900.000       59.531     -150.710    1047218.627
   15930.000       61.119     -149.641    1047730.358
   15960.000       62.694     -148.446    1048220.989
   15990.000       64.256     -147.104    1048688.805
   16020.000       65.801     -145.587    1049132.172
   16050.000       67.325     -143.863    1049549.543
   16080.000       68.826     -141.889    1049939.462
   16110.000       70.296     -139.615    1050300.569
   16140.000       71.729     -136.976    1050631.606
   16170.000       73.116     -133.892    1050931.420
   16200.000       74.444     -130.266    1051198.965
   16230.000       75.697     -125.980    1051433.311
   16260.000       76.854     -120.903    1051633.643
   16290.000       77.887     -114.900    1051799.262
   16320.000       78.762     -107.870    1051929.593
   16350.000       79.439      -99.795    1052024.183
   16380.000       79.880      -90.819    1052082.701
   16410.000       80.053      -81.282    1052104.946
   16440.000       79.943      -71.686    1052090.839
   16470.000       79.560      -62.547    1052040.430
   16500.000       78.932      -54.252    1051953.893
   16530.000       78.098      -46.984    1051831.531
   16560.000       77.097      -40.758    1051673.768
   16590.000       75.965      -35.485    1051481.153
   16620.000       74.731      -31.034    1051254.357
   16650.000       73.419      -27.270    1050994.169
   16680.000       72.044      -24.075    1050701.494
   16710.000       70.620      -21.343    1050377.352
   16740.000       69.158      -18.994    1050022.873
   16770.000       67.664      -16.958    1049639.291
   16800.000       66.144      -15.181    1049227.944
   16830.000       64.604      -13.621    1048790.267
   16860.000       63.045      -12.243    1048327.787
   16890.000       61.473      -11.017    1047842.118
   16920.000       59.887       -9.921    1047334.959
   16950.000       58.291       -8.937    1046808.081
