                                 24 May 2018 18:54:41
Satellite-Sat0102


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m)  
------------    ---------    ---------    -----------
       0.000       29.718      -95.686    1036588.914
      30.000       31.388      -95.415    1037132.426
      60.000       33.056      -95.129    1037692.103
      90.000       34.722      -94.828    1038265.963
     120.000       36.385      -94.509    1038851.980
     150.000       38.047      -94.171    1039448.083
     180.000       39.706      -93.812    1040052.168
     210.000       41.362      -93.429    1040662.106
     240.000       43.016      -93.020    1041275.746
     270.000       44.666      -92.581    1041890.927
     300.000       46.313      -92.109    1042505.483
     330.000       47.956      -91.601    1043117.254
     360.000       49.595      -91.051    1043724.089
     390.000       51.229      -90.454    1044323.857
     420.000       52.858      -89.805    1044914.452
     450.000       54.480      -89.095    1045493.804
     480.000       56.096      -88.317    1046059.882
     510.000       57.705      -87.461    1046610.703
     540.000       59.304      -86.513    1047144.338
     570.000       60.894      -85.460    1047658.921
     600.000       62.471      -84.284    1048152.654
     630.000       64.035      -82.965    1048623.809
     660.000       65.583      -81.475    1049070.743
     690.000       67.110      -79.782    1049491.896
     720.000       68.614      -77.847    1049885.797
     750.000       70.089      -75.619    1050251.073
     780.000       71.528      -73.036    1050586.452
     810.000       72.922      -70.021    1050890.764
     840.000       74.259      -66.478    1051162.951
     870.000       75.524      -62.294    1051402.063
     900.000       76.696      -57.337    1051607.268
     930.000       77.748      -51.473    1051777.854
     960.000       78.648      -44.593    1051913.226
     990.000       79.356      -36.662    1052012.912
    1020.000       79.833      -27.798    1052076.568
    1050.000       80.045      -18.313    1052103.970
    1080.000       79.975       -8.692    1052095.025
    1110.000       79.630        0.539    1052049.762
    1140.000       79.034        8.970    1051968.340
    1170.000       78.227       16.387    1051851.041
    1200.000       77.247       22.757    1051698.274
    1230.000       76.132       28.158    1051510.570
    1260.000       74.912       32.718    1051288.582
    1290.000       73.609       36.571    1051033.082
    1320.000       72.242       39.841    1050744.961
    1350.000       70.825       42.632    1050425.221
    1380.000       69.367       45.032    1050074.977
    1410.000       67.877       47.109    1049695.448
    1440.000       66.361       48.919    1049287.959
    1470.000       64.823       50.508    1048853.930
    1500.000       63.267       51.910    1048394.876
    1530.000       61.697       53.156    1047912.399
    1560.000       60.113       54.269    1047408.186
    1590.000       58.518       55.268    1046883.997
    1620.000       56.914       56.169    1046341.668
    1650.000       55.302       56.986    1045783.094
    1680.000       53.682       57.729    1045210.233
    1710.000       52.057       58.408    1044625.092
    1740.000       50.425       59.031    1044029.721
    1770.000       48.789       59.604    1043426.211
    1800.000       47.148       60.132    1042816.679
    1830.000       45.503       60.622    1042203.268
    1860.000       43.854       61.077    1041588.133
    1890.000       42.203       61.501    1040973.440
    1920.000       40.548       61.897    1040361.353
    1950.000       38.890       62.268    1039754.027
    1980.000       37.229       62.617    1039153.605
    2010.000       35.567       62.945    1038562.205
    2040.000       33.902       63.255    1037981.914
    2070.000       32.235       63.548    1037414.783
    2100.000       30.567       63.826    1036862.817
    2130.000       28.896       64.091    1036327.969
    2160.000       27.224       64.344    1035812.132
    2190.000       25.551       64.585    1035317.132
    2220.000       23.876       64.816    1034844.725
    2250.000       22.200       65.039    1034396.585
    2280.000       20.523       65.253    1033974.302
    2310.000       18.845       65.460    1033579.375
    2340.000       17.166       65.660    1033213.208
    2370.000       15.487       65.855    1032877.100
    2400.000       13.806       66.044    1032572.246
    2430.000       12.125       66.229    1032299.731
    2460.000       10.443       66.410    1032060.524
    2490.000        8.761       66.588    1031855.475
    2520.000        7.078       66.763    1031685.315
    2550.000        5.395       66.937    1031550.649
    2580.000        3.712       67.108    1031451.956
    2610.000        2.028       67.278    1031389.589
    2640.000        0.345       67.448    1031363.768
    2670.000       -1.339       67.617    1031374.587
    2700.000       -3.022       67.787    1031422.006
    2730.000       -4.706       67.958    1031505.857
    2760.000       -6.389       68.130    1031625.841
    2790.000       -8.072       68.305    1031781.531
    2820.000       -9.754       68.481    1031972.373
    2850.000      -11.436       68.661    1032197.687
    2880.000      -13.118       68.845    1032456.671
    2910.000      -14.798       69.032    1032748.405
    2940.000      -16.478       69.224    1033071.851
    2970.000      -18.158       69.422    1033425.860
    3000.000      -19.836       69.627    1033809.172
    3030.000      -21.514       69.838    1034220.427
    3060.000      -23.190       70.057    1034658.164
    3090.000      -24.865       70.284    1035120.831
    3120.000      -26.539       70.521    1035606.786
    3150.000      -28.212       70.769    1036114.306
    3180.000      -29.883       71.029    1036641.594
    3210.000      -31.552       71.301    1037186.783
    3240.000      -33.220       71.588    1037747.942
    3270.000      -34.885       71.891    1038323.089
    3300.000      -36.549       72.211    1038910.190
    3330.000      -38.210       72.551    1039507.172
    3360.000      -39.869       72.913    1040111.928
    3390.000      -41.525       73.298    1040722.326
