                                24 May 2018 18:54:39
Satellite-RS033


Time (EpSec)    Lat (deg)    Lon (deg)      Alt (m) 
------------    ---------    ---------    ----------
       0.000       43.599      133.867    501990.651
      30.000       41.730      134.233    501295.793
      60.000       39.858      134.571    500605.466
      90.000       37.983      134.885    499922.724
     120.000       36.106      135.177    499250.585
     150.000       34.227      135.449    498592.026
     180.000       32.346      135.705    497949.967
     210.000       30.463      135.944    497327.254
     240.000       28.578      136.171    496726.652
     270.000       26.692      136.385    496150.829
     300.000       24.805      136.587    495602.345
     330.000       22.916      136.781    495083.640
     360.000       21.026      136.965    494597.023
     390.000       19.135      137.142    494144.664
     420.000       17.243      137.312    493728.577
     450.000       15.351      137.476    493350.618
     480.000       13.457      137.635    493012.475
     510.000       11.563      137.789    492715.657
     540.000        9.668      137.940    492461.489
     570.000        7.773      138.088    492251.107
     600.000        5.877      138.233    492085.452
     630.000        3.981      138.377    491965.263
     660.000        2.085      138.519    491891.078
     690.000        0.189      138.661    491863.230
     720.000       -1.708      138.802    491881.842
     750.000       -3.604      138.944    491946.831
     780.000       -5.500      139.088    492057.906
     810.000       -7.396      139.232    492214.572
     840.000       -9.291      139.380    492416.127
     870.000      -11.186      139.530    492661.671
     900.000      -13.080      139.684    492950.107
     930.000      -14.974      139.842    493280.146
     960.000      -16.867      140.005    493650.315
     990.000      -18.759      140.173    494058.961
    1020.000      -20.650      140.349    494504.263
    1050.000      -22.540      140.532    494984.234
    1080.000      -24.429      140.723    495496.737
    1110.000      -26.317      140.924    496039.489
    1140.000      -28.203      141.135    496610.075
    1170.000      -30.088      141.359    497205.958
    1200.000      -31.971      141.596    497824.491
    1230.000      -33.853      141.848    498462.928
    1260.000      -35.732      142.117    499118.435
    1290.000      -37.610      142.405    499788.109
    1320.000      -39.485      142.714    500468.982
    1350.000      -41.358      143.047    501158.043
    1380.000      -43.228      143.407    501852.244
    1410.000      -45.095      143.798    502548.520
    1440.000      -46.959      144.223    503243.797
    1470.000      -48.819      144.688    503935.011
    1500.000      -50.675      145.198    504619.115
    1530.000      -52.527      145.760    505293.099
    1560.000      -54.374      146.382    505953.998
    1590.000      -56.215      147.074    506598.909
    1620.000      -58.049      147.849    507225.001
    1650.000      -59.876      148.720    507829.526
    1680.000      -61.694      149.706    508409.834
    1710.000      -63.501      150.831    508963.385
    1740.000      -65.295      152.124    509487.754
    1770.000      -67.073      153.622    509980.649
    1800.000      -68.832      155.376    510439.915
    1830.000      -70.566      157.450    510863.546
    1860.000      -72.268      159.932    511249.691
    1890.000      -73.928      162.941    511596.666
    1920.000      -75.532      166.636    511902.957
    1950.000      -77.060      171.235    512167.229
    1980.000      -78.480      177.023    512388.331
    2010.000      -79.749     -175.653    512565.298
    2040.000      -80.804     -166.456    512697.359
    2070.000      -81.565     -155.249    512783.941
    2100.000      -81.946     -142.423    512824.665
    2130.000      -81.895     -129.062    512819.354
    2160.000      -81.420     -116.537    512768.032
    2190.000      -80.584     -105.783    512670.921
    2220.000      -79.473      -97.042    512528.445
    2250.000      -78.164      -90.105    512341.225
    2280.000      -76.716      -84.620    512110.076
    2310.000      -75.168      -80.252    511836.004
    2340.000      -73.549      -76.732    511520.206
    2370.000      -71.878      -73.857    511164.057
    2400.000      -70.168      -71.478    510769.111
    2430.000      -68.428      -69.485    510337.093
    2460.000      -66.665      -67.795    509869.888
    2490.000      -64.882      -66.348    509369.538
    2520.000      -63.085      -65.097    508838.231
    2550.000      -61.276      -64.007    508278.290
    2580.000      -59.456      -63.049    507692.167
    2610.000      -57.627      -62.201    507082.430
    2640.000      -55.791      -61.447    506451.752
    2670.000      -53.949      -60.772    505802.899
    2700.000      -52.101      -60.165    505138.722
    2730.000      -50.248      -59.615    504462.140
    2760.000      -48.390      -59.116    503776.127
    2790.000      -46.529      -58.661    503083.706
    2820.000      -44.665      -58.244    502387.926
    2850.000      -42.797      -57.861    501691.856
    2880.000      -40.926      -57.508    500998.568
    2910.000      -39.053      -57.180    500311.127
    2940.000      -37.177      -56.876    499632.570
