                              24 May 2018 18:54:38
Aircraft-Aircraft1


Time (EpSec)    Lat (deg)    Lon (deg)    Alt (km)
    4740.000      -27.389      155.282    3.048000
    4770.000      -27.378      155.301    3.048000
    4800.000      -27.367      155.321    3.048000
    4830.000      -27.356      155.341    3.048000
    4860.000      -27.345      155.361    3.048000
    4890.000      -27.333      155.381    3.048000
    4920.000      -27.322      155.400    3.048000
    4950.000      -27.311      155.420    3.048000
    4980.000      -27.300      155.440    3.048000
    5010.000      -27.289      155.460    3.048000
    5040.000      -27.278      155.479    3.048000
    5070.000      -27.267      155.499    3.048000
    5100.000      -27.255      155.519    3.048000
    5130.000      -27.244      155.539    3.048000
    5160.000      -27.233      155.558    3.048000
    5190.000      -27.222      155.578    3.048000
    5220.000      -27.211      155.598    3.048000
    5250.000      -27.200      155.618    3.048000
    5280.000      -27.188      155.637    3.048000
    5310.000      -27.177      155.657    3.048000
    5340.000      -27.166      155.677    3.048000
    5370.000      -27.155      155.697    3.048000
    5400.000      -27.144      155.716    3.048000
    5430.000      -27.133      155.736    3.048000
    5460.000      -27.121      155.756    3.048000
    5490.000      -27.110      155.775    3.048000
    5520.000      -27.099      155.795    3.048000
    5550.000      -27.088      155.815    3.048000
    5580.000      -27.077      155.835    3.048000
    5610.000      -27.066      155.854    3.048000
    5640.000      -27.054      155.874    3.048000
    5670.000      -27.043      155.894    3.048000
    5700.000      -27.032      155.913    3.048000
    5730.000      -27.021      155.933    3.048000
    5760.000      -27.009      155.953    3.048000
    5790.000      -26.998      155.972    3.048000
    5820.000      -26.987      155.992    3.048000
    5850.000      -26.976      156.012    3.048000
    5880.000      -26.965      156.031    3.048000
    5910.000      -26.953      156.051    3.048000
    5940.000      -26.942      156.071    3.048000
    5970.000      -26.931      156.090    3.048000
    6000.000      -26.920      156.110    3.048000
    6030.000      -26.908      156.130    3.048000
    6060.000      -26.897      156.149    3.048000
    6090.000      -26.886      156.169    3.048000
    6120.000      -26.875      156.188    3.048000
    6150.000      -26.864      156.208    3.048000
    6180.000      -26.852      156.228    3.048000
    6210.000      -26.841      156.247    3.048000
    6240.000      -26.830      156.267    3.048000
    6270.000      -26.819      156.287    3.048000
    6300.000      -26.807      156.306    3.048000
    6330.000      -26.796      156.326    3.048000
    6360.000      -26.785      156.345    3.048000
    6390.000      -26.773      156.365    3.048000
    6420.000      -26.762      156.384    3.048000
    6450.000      -26.751      156.404    3.048000
    6480.000      -26.740      156.424    3.048000
    6510.000      -26.728      156.443    3.048000
    6540.000      -26.717      156.463    3.048000
    6570.000      -26.706      156.482    3.048000
    6600.000      -26.695      156.502    3.048000
    6630.000      -26.683      156.522    3.048000
    6660.000      -26.672      156.541    3.048000
    6690.000      -26.661      156.561    3.048000
    6720.000      -26.649      156.580    3.048000
    6750.000      -26.638      156.600    3.048000
    6780.000      -26.627      156.619    3.048000
    6810.000      -26.615      156.639    3.048000
    6840.000      -26.604      156.658    3.048000
    6870.000      -26.593      156.678    3.048000
    6900.000      -26.582      156.697    3.048000
    6930.000      -26.570      156.717    3.048000
    6960.000      -26.559      156.736    3.048000
    6990.000      -26.548      156.756    3.048000
    7020.000      -26.536      156.775    3.048000
    7050.000      -26.525      156.795    3.048000
    7080.000      -26.514      156.814    3.048000
