
     sappi  sapps  vbri   vbrs  trafi  trafs     value      prob  label
109     20  32908    30  24000     30  32710  0.554137  0.235294      0
110     20  33778    30  24000     30  35901  0.637497  0.650000      1
111     20  33778    30  24000     30  35901  0.570627  0.350000      0
112     20  33734    30  24000     30  35898  0.629547  0.789474      1
113     20  33734    30  24000     30  35898  0.559471  0.210526      0
114     20  32834    30  24000     30  32564  0.607123  0.888889      1
115     20  32834    30  24000     30  32564  0.370163  0.111111      0
116     20  33860    30  24000     30  35683  0.635475  0.722222      1
117     20  33860    30  24000     30  35683  0.556190  0.277778      0
118     20  33864    30  24000     30  35580  0.639889  0.631579      1
119     20  33864    30  24000     30  35580  0.581520  0.368421      0
120     20  33027    30  24000     30  31985  0.645104  0.750000      1
121     20  33027    30  24000     30  31985  0.571423  0.250000      0
122     20  32823    30  24000     30  32248  0.644966  0.833333      1
123     20  32823    30  24000     30  32248  0.563536  0.166667      0
124     20  33652    30  24000     30  36052  0.629592  0.842105      1
125     20  33652    30  24000     30  36052  0.551147  0.157895      0
126     20  33647    30  24000     30  36149  0.634818  0.700000      1
127     20  33647    30  24000     30  36149  0.547244  0.300000      0
128     20  33223    30  24000     30  37133  0.630293  0.684211      1
129     20  33223    30  24000     30  37133  0.559648  0.315789      0
130     20  31963    30  24000     30  39743  0.643281  0.600000      1
131     20  31963    30  24000     30  39743  0.563863  0.400000      0
132     20  30364    30  24000     30  37772  0.658121  0.833333      1
133     20  30364    30  24000     30  37772  0.569149  0.166667      0
134     20  32902    30  24000     30  38066  0.630133  0.631579      1
135     20  32902    30  24000     30  38066  0.561912  0.368421      0
136     20  33090    30  24000     30  37736  0.638300  0.684211      1
137     20  33090    30  24000     30  37736  0.581368  0.315789      0
138     20  29144    30  24000     30  40721  0.665639  0.736842      1
139     20  29144    30  24000     30  40721  0.576261  0.263158      0
140     20  30787    30  24000     30  37824  0.654241  0.777778      1
141     20  30787    30  24000     30  37824  0.582357  0.222222      0
142     20  31387    30  24000     30  40896  0.648341  0.684211      1
143     20  31387    30  24000     30  40896  0.571420  0.315789      0
144     20  29262    30  24000     30  40447  0.661033  0.750000      1
145     20  29262    30  24000     30  40447  0.598111  0.250000      0
146     20  32205    30  24000     30  39682  0.632514  0.500000      1
147     20  32205    30  24000     30  39682  0.552877  0.500000      0
148     20  30949    30  24000     30  37239  0.657507  0.750000      1
149     20  30949    30  24000     30  37239  0.576795  0.250000      0
150     20  31171    30  24000     30  36847  0.658549  0.550000      1
151     20  31171    30  24000     30  36847  0.573631  0.450000      0
152     20  32117    30  24000     30  39213  0.646186  0.500000      1
153     20  32117    30  24000     30  39213  0.595134  0.500000      0
154     20  32384    30  24000     30  38929  0.633596  0.684211      1
155     20  32384    30  24000     30  38929  0.572261  0.315789      0
156     20  32592    30  24000     30  38684  0.637536  0.578947      1
157     20  32592    30  24000     30  38684  0.569058  0.421053      0
158     20  31519    30  24000     30  40910  0.632762  0.684211      1
159     20  31519    30  24000     30  40910  0.538790  0.315789      0
160     20  31860    30  24000     30  40307  0.613607  0.950000      1
161     20  31860    30  24000     30  40307  0.370163  0.050000      0
162     20  31170    30  24000     30  36977  0.660965  0.684211      1
163     20  31170    30  24000     30  36977  0.587768  0.315789      0
164     20  33199    30  24000     30  37867  0.635262  0.473684      1
165     20  33199    30  24000     30  37867  0.562069  0.526316      0
166     20  30955    30  24000     30  37691  0.654225  0.722222      1
167     20  30955    30  24000     30  37691  0.563149  0.277778      0
168     20  33302    30  24000     30  37933  0.628985  0.650000      1
169     20  33302    30  24000     30  37933  0.558003  0.350000      0
170     20  31649    30  24000     30  36418  0.653411  0.684211      1
171     20  31649    30  24000     30  36418  0.579839  0.315789      0
172     20  33592    30  24000     30  37682  0.631352  0.684211      1
173     20  33592    30  24000     30  37682  0.534658  0.315789      0
174     20  33491    30  24000     30  37543  0.627223  0.789474      1
175     20  33491    30  24000     30  37543  0.541441  0.210526      0
176     20  33462    30  24000     30  37534  0.634727  0.666667      1
177     20  33462    30  24000     30  37534  0.544314  0.333333      0
178     20  33163    30  24000     30  38402  0.629236  0.526316      1
179     20  33163    30  24000     30  38402  0.563085  0.473684      0
180     20  33237    30  24000     30  38155  0.625644  0.631579      1
181     20  33237    30  24000     30  38155  0.546669  0.368421      0
182     20  33435    30  24000     30  38076  0.626343  0.526316      1
183     20  33435    30  24000     30  38076  0.553105  0.473684      0
184     20  31882    30  24000     30  36083  0.643332  0.684211      1
185     20  31882    30  24000     30  36083  0.563152  0.315789      0
186     20  32000    30  24000     30  35972  0.651375  0.777778      1
187     20  32000    30  24000     30  35972  0.550910  0.222222      0
188     20  32146    30  24000     30  35770  0.649325  0.600000      1
189     20  32146    30  24000     30  35770  0.555287  0.400000      0
190     20  32150    30  24000     30  35850  0.653610  0.800000      1
191     20  32150    30  24000     30  35850  0.552988  0.200000      0
192     20  32074    30  24000     30  35794  0.650798  0.700000      1
193     20  32074    30  24000     30  35794  0.541348  0.300000      0
194     20  33573    30  24000     30  37566  0.623444  0.684211      1
195     20  33573    30  24000     30  37566  0.557556  0.315789      0
196     20  32218    30  24000     30  35511  0.654331  0.555556      1
197     20  32218    30  24000     30  35511  0.575953  0.444444      0
198     20  32277    30  24000     30  35543  0.644780  0.588235      1
199     20  32277    30  24000     30  35543  0.568305  0.411765      0
