
     sappi  sapps  vbri   vbrs  trafi  trafs     value      prob  label
0       20  63962    30  24000     30  63909  0.350690  0.833333      1
1       20  63962    30  24000     30  63909  0.292211  0.166667      0
2       20  63972    30  24000     30    218  0.317700  0.411765      1
3       20  63972    30  24000     30    218  0.288861  0.588235      0
4       20      9    30  24000     30  63836  0.702480  0.947368      1
5       20      9    30  24000     30  63836  0.558819  0.052632      0
6       20  63977    30  24000     30  31048  0.380684  0.894737      1
7       20  63977    30  24000     30  31048  0.309276  0.105263      0
8       20  30965    30  24000     30  63967  0.440433  0.800000      1
9       20  30965    30  24000     30  63967  0.347445  0.200000      0
10      20  34415    30  24000     30  63976  0.424331  0.800000      1
11      20  34415    30  24000     30  63976  0.342591  0.200000      0
12      20    693    30  24000     30  63983  0.706641  0.666667      1
13      20    693    30  24000     30  63983  0.602523  0.333333      0
14      20  44577    30  24000     30  42897  0.429328  0.750000      1
15      20  44577    30  24000     30  42897  0.342713  0.250000      0
16      20  41411    30  24000     30  44445  0.439575  0.850000      1
17      20  41411    30  24000     30  44445  0.345045  0.150000      0
18      20  63572    30  24000     30     38  0.342498  0.157895      1
19      20  63572    30  24000     30     38  0.294482  0.842105      0
20      20  35239    30  24000     30  46748  0.469857  0.736842      1
21      20  35239    30  24000     30  46748  0.380180  0.263158      0
22      20  48234    30  24000     30  30737  0.425138  0.900000      1
23      20  48234    30  24000     30  30737  0.346178  0.100000      0
24      20  32246    30  24000     30  46846  0.499700  0.800000      1
25      20  32246    30  24000     30  46846  0.401924  0.200000      0
26      20  45938    30  24000     30  31509  0.436184  0.800000      1
27      20  45938    30  24000     30  31509  0.359174  0.200000      0
28      20  35230    30  24000     30  63998  0.422292  0.750000      1
29      20  35230    30  24000     30  63998  0.348078  0.250000      0
30      20  29892    30  24000     30  45772  0.584309  0.937500      1
31      20  29892    30  24000     30  45772  0.370163  0.062500      0
32      20  44206    30  24000     30  30474  0.445226  0.947368      1
33      20  44206    30  24000     30  30474  0.358868  0.052632      0
34      20  29049    30  24000     30  46222  0.648664  0.350000      1
35      20  29049    30  24000     30  46222  0.583117  0.650000      0
36      20  29559    30  24000     30  45840  0.625836  0.722222      1
37      20  29559    30  24000     30  45840  0.543515  0.277778      0
38      20  46735    30  24000     30  19362  0.536022  0.388889      1
39      20  46735    30  24000     30  19362  0.458430  0.611111      0
40      20  37667    30  24000     30  40023  0.467526  0.941176      1
41      20  37667    30  24000     30  40023  0.379553  0.058824      0
42      20  37182    30  24000     30  40375  0.474757  0.764706      1
43      20  37182    30  24000     30  40375  0.387933  0.235294      0
44      20  27724    30  24000     30  47216  0.649933  0.750000      1
45      20  27724    30  24000     30  47216  0.574291  0.250000      0
46      20  39355    30  24000     30  36747  0.472386  0.789474      1
47      20  39355    30  24000     30  36747  0.389986  0.210526      0
48      20  63969    30  24000     30  30803  0.379803  0.850000      1
49      20  63969    30  24000     30  30803  0.307923  0.150000      0
